Province,District,Commune,Vil_Code,Village,L1_HH,L2_HH,L1_Per_HH,L2_Per_HH,TOT_Per_HH,TOT_HH,Rounds,Scale
Banteay Meanchey,Mongkol Borei,Phnum Touch,1020708,Prey Totueng,43,17,0.126,0.05,0.176,60,2010,1
Banteay Meanchey,Mongkol Borei,Phnum Touch,1020709,Boeng Reang,17,0,0.078,0,0.078,17,2010,2
Banteay Meanchey,Mongkol Borei,Phnum Touch,1020710,Voat Thmei,25,32,0.104,0.133,0.237,57,2010,2
Banteay Meanchey,Mongkol Borei,Rohat Tuek,1020801,Pou Pir Daeum,20,51,0.071,0.18,0.251,71,2010,2
Banteay Meanchey,Mongkol Borei,Rohat Tuek,1020802,Rohat Tuek,7,6,0.079,0.067,0.146,13,2010,1
Banteay Meanchey,Mongkol Borei,Rohat Tuek,1020803,Thnal Bat,20,17,0.098,0.083,0.181,37,2010,1
Banteay Meanchey,Mongkol Borei,Rohat Tuek,1020804,Kramol,30,50,0.122,0.203,0.325,80,2010,2
Banteay Meanchey,Mongkol Borei,Rohat Tuek,1020805,Khtum Chrum,15,36,0.089,0.214,0.304,51,2010,2
Banteay Meanchey,Mongkol Borei,Rohat Tuek,1020806,Chak Lech,21,32,0.146,0.222,0.368,53,2010,2
Banteay Meanchey,Mongkol Borei,Rohat Tuek,1020807,Doun Mul,7,8,0.189,0.216,0.405,15,2010,1
Banteay Meanchey,Mongkol Borei,Rohat Tuek,1020808,Preaek Samraong,8,38,0.035,0.165,0.2,46,2010,1
Banteay Meanchey,Mongkol Borei,Rohat Tuek,1020809,Ou Dangkao,20,55,0.069,0.19,0.259,75,2010,2
Banteay Meanchey,Mongkol Borei,Rohat Tuek,1020810,Chamkar Chek,16,21,0.066,0.086,0.152,37,2010,1
Banteay Meanchey,Mongkol Borei,Rohat Tuek,1020811,Ou Chuob,42,28,0.194,0.129,0.323,70,2010,2
Banteay Meanchey,Mongkol Borei,Rohat Tuek,1020812,Ka Svay,23,40,0.097,0.168,0.265,63,2010,2
Banteay Meanchey,Mongkol Borei,Rohat Tuek,1020813,Chak Kaeut,22,19,0.161,0.139,0.299,41,2010,1
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,1020901,Anhchanh,40,2,0.201,0.01,0.211,42,2010,2
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,1020902,Neang Ket,40,25,0.131,0.082,0.213,65,2010,2
