NCDD_CodeP,NCDD_CodeD,NCDD_CodeC,Commune,TT_Family,Commune_S,Corn_Ha,Corn_Yield,Cass_Ha,Cass_Yield,Cash_Ha,Cash_Yield,Mang_Ha,Mang_Yield,PigFarm,PigRaised,ChickFarm,ChickRaise,DuckFarm,DuckRaised,CowFarm,CowRaised,BuffFarm,BuffRaised,Rpig,Rpoultry,Rcow,Rbuff,RLUn_1Ha_N,RLUn_1Ha_P,Per_HH_El,Fami_Impro,Fami_Unim,RatImpLatH,RiField_Ha,Ratio
1,109,10902,Malai,1942,2152,518,2.4,1128,12,0,0,0,0,33,297,526,3021,72,275,14,92,0,0,9,5.5117,6.5714,0,117,6.0247,95.162883,896,267,46.138002,260,12.08
1,109,10903,Ou Sampoar,1143,4594.89,483,1.8,2268,35,5,6.4,0,0,50,103,833,3302,214,1209,176,329,0,0,2.06,4.3085,1.8693,0,240,20.9974,2.508961,283,4,24.759405,637,13.86
1,109,10904,Ou Sralau,922,3022,6.5,4.5,1742.26,20,0,0,0,0,44,141,569,3656,175,1045,30,90,0,0,3.2045,6.3185,3,0,223,24.1866,76.267281,226,62,24.511931,412.65,13.65
1,109,10905,Tuol Pongro,2327,16000,540,2.5,1122,18,0,0,0,0,40,156,1557,9541,186,973,200,687,1,2,3.9,6.0321,3.435,2,364,15.6425,13.653603,147,576,6.317147,6000,37.5
1,109,10906,Ta Kong,2185,14878,0,0,0,0,0,0,0,0,90,445,1442,19533,283,1926,64,232,2,5,4.9444,12.44,3.625,2.5,342,15.6522,0,115,425,5.263158,10817,72.7
1,110,11001,Nimitt,4269,16932,3,2,85,20,0,0,10,2.5,659,1333,2744,14825,603,4840,268,871,2,7,2.0228,5.8754,3.25,3.5,1110,26.0014,42.003763,1329,599,31.131413,7200,42.52
1,110,11002,Paoy Paet,10759,2189.59,0,0,360,15,0,0,0,0,17,115,394,7585,76,506,21,390,0,0,6.7647,17.2149,18.5714,0,0,0,91.912805,6141,1444,57.077795,1348,61.56
2,201,20101,Kantueu Muoy,1181,6324,46,6,0,0,0,0,0,0,14,201,166,1540,6,130,428,1438,3,11,14.3571,9.7093,3.3598,3.6667,327,27.6884,10.755556,256,103,21.676545,4688,74.13
2,201,20102,Kantueu Pir,1462,4000,75,2,54,3,0,0,57,3,89,422,758,6819,70,438,603,1892,2,5,4.7416,8.7645,3.1376,2.5,368,25.171,50.266667,497,60,33.994528,1600,40
2,201,20103,Bay Damram,1643,4125,20,1.8,0,0,0,0,0,0,189,1246,671,3830,99,826,1063,3580,4,14,6.5926,6.0468,3.3678,3.5,232,14.1205,45.269382,372,148,22.641509,3675,89.09
2,201,20104,Chheu Teal,3662,3955,40,1,0,0,0,0,10,1,204,1276,1412,7723,73,3955,890,2264,3,20,6.2549,7.864,2.5438,6.6667,1323,36.1278,57.425743,1280,190,34.953577,1718,43.44
2,201,20105,Chaeng Mean Chey,1795,8377,507,2,456,5,0,0,15,5,68,115,1236,6598,36,203,801,2613,3,10,1.6912,5.3467,3.2622,3.3333,208,11.5877,25.683646,232,0,12.924791,5482,65.44
2,201,20106,Phnum Sampov,3437,4653,10,3,80,5,0,0,0,0,115,357,749,3535,55,16866,911,2152,2,6,3.1043,25.3744,2.3622,3,249,7.2447,72.263644,1982,164,57.66657,3379,72.62
2,201,20107,Snoeng,3641,9056,0,0,0,0,0,0,0,0,199,677,1366,8924,53,5907,1528,5945,7,29,3.402,10.4517,3.8907,4.1429,516,14.1719,18.796199,559,247,15.352925,6043,66.73
2,201,20108,Ta Kream,4100,21955,25,0.7,150,7,0,0,0,0,225,1349,1731,13845,199,29354,1278,6638,57,130,5.9956,22.3829,5.1941,2.2807,705,17.1951,29.290292,573,473,13.97561,6966,31.73
2,202,20201,Ta Pung,3166,6981,0,0,0,0,0,0,0,0,323,586,1938,6156,94,19206,276,606,5,26,1.8142,12.4813,2.1957,5.2,607,19.1725,47.018485,2395,216,75.647505,5653,80.98
2,202,20202,Ta Meun,3396,5545,0,0,0,0,0,0,0,0,123,561,1628,78508,94,37725,208,626,4,28,4.561,67.4988,3.0096,7,690,20.318,54.568457,1199,1072,35.306243,4694,84.65
2,202,20203,Ou Ta Ki,3766,7431.69,0,0,0,0,0,0,0,0,340,1420,2204,6960,62,40494,557,1445,30,50,4.1765,20.9417,2.5943,1.6667,383,10.1699,54.441118,1252,487,33.244822,6500.75,87.47
2,202,20204,Chrey,3368,4920,0,0,0,0,0,0,0,0,305,572,1181,17488,89,15295,244,689,1,2,1.8754,25.8134,2.8238,2,445,13.2126,57.572221,1308,1067,38.836105,4420,89.84
2,202,20205,Anlong Run,1106,8200,0,0,3,1,0,0,0,0,57,236,405,1736,13,32219,238,484,13,271,4.1404,81.2321,2.0336,20.8462,453,40.9584,11.013216,528,55,47.739602,5670,69.15
2,202,20206,Chrouy Sdau,2208,9236,1,1.5,1.5,1,0,0,5,1.5,741,1529,1549,5611,229,5468,109,267,0,0,2.0634,6.2312,2.4495,0,272,12.3188,71.792261,1676,68,75.905797,5300,57.38
2,202,20207,Boeng Pring,1974,7546,0,0,0,0,0,0,0,0,467,839,1325,6937,581,6629,218,668,0,0,1.7966,7.1175,3.0642,0,237,12.0061,67.344961,1189,231,60.233029,6982,92.53
2,202,20208,Kouk Khmum,2836,4453,3,2.3,0,0,0,0,0,0,161,710,1650,19585,101,8564,245,663,0,0,4.4099,16.076,2.7061,0,418,14.7391,73.388078,965,733,34.026798,4169,93.62
2,202,20209,Bansay Traeng,2263,5010,1.5,2,0,0,0,0,0,0,70,366,1263,18870,270,41717,285,629,1,4,5.2286,39.5219,2.207,4,222,9.81,45.30558,953,385,42.11224,4610,92.02
2,202,20210,Rung Chrey,2298,5407,0,0,0,0,0,0,0,0,169,686,1728,13000,102,57782,181,449,6,13,4.0592,38.6787,2.4807,2.1667,425,18.4943,47.005601,929,428,40.426458,4750,87.85
2,203,20301,Tuol Ta Aek,3612,296.697,0,0,0,0,0,0,0,0,20,288,653,3815,20,774,26,74,0,0,14.4,6.8187,2.8462,0,15,0.4153,98.505642,3018,338,83.554817,8.5,2.86
