Commune,LSize_Ha,Corn_Ha,Corn_Yield,Cassava_Ha,CassaYield,Cashew_Ha,CasheYield,Mango_Ha,MangoYield
Preaek Kmeng,1810,12,4,0,0,0,0,0,0
Samraong Leu,3190,0,0,0,0,0,0,0,0
Chrey,3885,0,0,0,0,0,0,0,0
Ovlaok,1591.43,0,0,0,0,0,0,0,0
Pou Rieng,6518,0,0,0,0,0,0,0,0
Boeng Kak Ti Muoy,0,0,0,0,0,0,0,0,0
Srah Chak,320.5,0,0,0,0,0,0,0,0
Boeng Kak Ti Pir,175.79,0,0,0,0,0,0,0,0
Khtum Krang,3755,248,1,11,2,0,0,3,1
Preaek Ta Sar,2435,0,0,0,0,0,0,28,4
Akreiy Ksatr,1641,67,1,0,0,0,0,133,3
Peam Oknha Ong,2689,15,0.5,0,0,0,0,10,5
Peam Krasaob,5465,0,0,0,0,20,0,0,0
Angkor Tret,3494,0,0,0,0,0,0,0,0
Voat Phnum,67.97,0,0,0,0,0,0,0,0
Phsar Kandal Ti Muoy,28.89,0,0,0,0,0,0,0,0
Phsar Chas,7.6,0,0,0,0,0,0,0,0
Phsar Depou Ti Muoy,29.5,0,0,0,0,0,0,0,0
Phsar Thmei Ti Muoy,10.8,0,0,0,0,0,0,0,0
Tuek L'ak Ti Muoy,0,0,0,0,0,0,0,0,0
Phsar Thmei Ti Pir,10.42,0,0,0,0,0,0,0,0
Monourom,13.89,0,0,0,0,0,0,0,0
Mittakpheap,38.1,0,0,0,0,0,0,0,0
Pneay,4380,0,0,1,5,0,0,0,0
Phsar Kandal Ti Pir,7.5,0,0,0,0,0,0,0,0
Phsar Thmei Ti Bei,33.12,0,0,0,0,0,0,0,0
Me Bon,2024,0,0,0,0,0,0,0,0
Chi kha Leu,56900,5,2,30,24,120,3,60,5
Veal Vong,113,0,0,0,0,0,0,0,0
Phsar Depou Ti Pir,19,0,0,0,0,0,0,0,0
Ou Ruessei Ti Buon,7.3,0,0,0,0,0,0,0,0
Chey Chummeah,72,0,0,0,0,0,0,0,0
Boeng Reang,4,0,0,0,0,0,0,0,0
Kaoh Reah,1199,4,0.5,0,0,0,0,8,5
Ou Ruessei Ti Bei,6,0,0,0,0,0,0,0,0
Tuek L'ak Ti Pir,42.27,0,0,0,0,0,0,0,0
Ou Ruessei Ti Muoy,8666,0,0,0,0,0,0,0,0
Phsar Depou Ti Bei,26.84,0,0,0,0,0,0,0,0
Ou Ruessei Ti Pir,91266,0,0,0,0,0,0,0,0
Tuek L'ak Ti Bei,0,0,0,0,0,0,0,0,0
Boeng Prolit,28.2,0,0,0,0,0,0,0,0
Chakto Mukh,100.093,0,0,0,0,0,0,0,0
Preaek Rey,1546,4,1,0,0,0,0,22,15
Phsar Daeum Kor,66.68,0,0,0,0,0,0,0,0
Sambour,1044,0,0,0,0,0,0,0,0
Krasang,1765.5,0,0,50,20,0,0,0,0
Boeng Salang,116.8,0,0,0,0,0,0,0,0
Tuol Svay Prey Ti Pir,49,0,0,0,0,0,0,0,0
Tonle Basak,392.41,0,0,0,0,25,0,0,0
Nirouth,1026,0,0,0,0,0,0,0,0
Boeng Keng Kang Ti Muoy,92.55,0,0,0,0,0,0,0,0
Samraong Tong,2575,0,0,0,0,0,0,7,5
Oulampik,29.95,0,0,0,0,0,0,0,0
Boeng Keng Kang Ti Pir,30.36,0,0,0,0,0,0,0,0
Tuol Svay Prey Ti Muoy,45,0,0,0,0,0,0,0,0
Veal Sbov,1027,0,0,0,0,0,0,0,0
Tumnob Tuek,144,0,0,0,0,0,0,0,0
Boeng Keng Kang Ti Bei,65.6,0,0,0,0,0,0,0,0
Chhak Chheu Neang,573,0,0,0,0,0,0,0,0
Ta Kao,3614.5,0,0,0,0,0,0,0,0
Preaek Aeng,1570.89,0,0,0,0,0,0,68.3,4320
Damnak Ampil,841,0,0,0,0,0,0,0,0
Tuol Tumpung Ti Pir,49.55,0,0,0,0,0,0,0,0
Thma Kor,1170,16,2,0,0,0,0,150,20
Boeng Tumpun,4330,0,0,0,0,0,0,0,0
Boeng Trabaek,50.98,0,0,0,0,0,0,0,0
Tuol Tumpung Ti Muoy,53.23,0,0,0,0,0,0,0,0
Kbal Kaoh,2911.45,0,0,0,0,0,0,0,0
Chhbar Ampov Ti Pir,83.41,0,0,0,0,0,0,0,0
Preaek Anteah,2219,0,0,0,0,0,0,0,0
Phum Thum,708,27,5,0,0,0,0,0,0
Smaong Khang Tboung,3428.83,0,0,0,0,0,0,0,0
Baek Chan,1291,0,0,0,0,0,0,0,0
Phsar Daeum Thkov,105.92,0,0,0,0,0,0,0,0
Phum Thum,2301.5,23,5,0,0,0,0,0,0
Chhbar Ampov Ti Muoy,382000,0,0,0,0,0,0,0,0
Chak Angrae Leu,276,0,0,0,0,0,0,0,0
Peuk,1220,0,0,0,0,0,0,0,0
Krang Dei Vay,19060,15,3,7541,25,0,0,0,0
Damrei Puon,3118.02,0,0,0,0,0,0,0,0
Tang Krouch,3769,0,0,0,0,0,0,20,7
Preaek Pra,460,0,0,0,0,0,0,0,0
Tuek Khleang,1064,361,6,0,0,0,0,89,8
Kokir,2335.02,0,0,0,0,0,0,0,0
Cheung Tuek,1663,0,0,0,0,0,0,0,0
Voa Sar,2634,8,1,0,0,0,0,0,0
Chak Angrae Kraom,2288,0,0,0,0,0,0,0,0
Chbar Mon,2303,0,0,0,0,0,0,0,0
Dei Edth,4592,0,0,0,0,0,0,377,5
Pean Roung,4278,0,0,0,0,0,0,0,0
Trapeang Kong,2679,0,0,0,0,0,0,0,0
Phleung Chheh Roteh,1080.5,0,0,0,0,0,0,0,0
Sambuor,2669,0,0,106,10,0,0,0,0
Kaoh Kapi,53500,0,0,0.5,3,0,0,0,0
Rokar Thum,1784341,0,0,0,0,0,0,0,0
Prey Puoch,1613,0,0,0,0,0,0,0,0
Cheung Aek,1302,0,0,0,0,0,0,5,4
Krang Mkak,751,0,0,0,0,0,0,0,0
Pong Tuek,1297,0,0,0,0,0,0,0,0
Kokir,3860,0,0,1500,25,0,0,0,0
Prey Veaeng,940.5,0,0,0,0,0,0,0,0
Lumhach,1663,0,0,0,0,0,0,28,2.5
Kampong Leav,2045,0,0,0,0,0,0,0,0
Boeng Thum,1524.55,0,0,0,0,0,0,0,0
Preaek Thmei,2178.56,0,0,0,0,0,0,0,0
Sopoar Tep,389,0,0,0,0,0,0,5,1
Boeng Krum,1513,261,6,0,0,0,0,0,0
Ampil,5968,0,0,1021,15,0,0,0,0
Banteay Daek,5763,35,3.5,0,0,0,0,0,0
Daeum Mien,352.38,25,2,0,0,0,0,0,0
Preaek Ruessei,1385.8,0,0,0,0,0,0,0,0
Preaek Chrey,4243,0,0,0,0,0,0,0,0
Ta Khmau,974.396,0,0,0,0,0,0,0,0
Prey Totueng,4268,0,0,0,0,0,0,0,0
Tang Samraong,13290,13,2,2100,3,0,0,0,0
Chheu Teal,2160,5,3,0,0,0,0,10,20
Prateah Lang,884,0,0,0,0,0,0,0,0
Preaek Ruessei,226.215,0,0,0,0,0,0,0,0
Baray,2516,0,0,0,0,0,0,0,0
Lvea Sar,875.71,6.3,4,0,0,0,0,0,0
Spean Thma,765.09,0,0,0,0,0,0,0,0
Svay Chrum,4154,0,0,0,0,0,0,0,0
Roleang Chak,1205,0,0,10,1,150,0,0,0
Ta Kdol,225.0953,3,2,0,0,0,0,1.5,5
Kandaol Dom,662,4.3,1.5,0,0,0,0,0,0
Samraong,6215.1,0,0,0,0,0,0,0,0
Kampong Samnanh,466.78,15,4,0,0,0,0,0,0
Sambatt Mean Chey,3122.53,0,0,0,0,0,0,0,0
Chrouy Pras,48130,0,0,0,0,0,0,0,0
Roleang Kreul,1356,5,1,4,1,0,0,2,2
Sak Sampov,769.5,0,0,0,0,0,0,0,0
Chrey Thum,5438,0,0,149,15,0,0,0,0
Preaek Kampues,916.5,0,0,0,0,0,0,0,0
Daeum Rues,1659,0,0,0,0,0,0,0,0
Preaek Hou,933.45,5.5,4,0,0,0,0,0,0
Kaoh Anlong Chen,586,0,0,0,0,0,0,0,0
Svay Kravan,701,0,0,0,0,0,0,0,0
Tang Sya,6887,10,1,0,0,0,0,0,0
Kampong Svay,3387,100,3,0,0,0,0,0,0
Svay Rolum,1083,0,0,0,0,0,0,8,3
Krang Pongro,732.64,0,0,0,0,0,0,102.17,15
Setbou,1976,0,0,0,0,0,0,0,0
Roleang Kaen,740,0,0,2.5,3,0,0,0,0
Roka,550,0,0,0,0,0,0,0,0
Samraong Thum,8476.57,683.56,2.5,0,0,0,0,81.42,30
Kahaeng,963,0,0,0,0,0,0,0,0
Kaoh Kaev,778,0,0,0,0,0,0,0,0
Tien,595.36,0,0,0,0,0,0,0,0
Moha Sang,1519.8,0.5,0.3,0,0,0,0,0,0
Prey Kandieng,3392,0,0,0,0,0,0,0,0
Roluos,562.23,0,0,0,0,0,0,0,0
Kong Noy,422.03,0,0,0,0,0,0,0,0
Sambuor,1934.55,25,0.81,0,0,0,0,0,0
Prey Rumduol,1899,0,0,0,0,0,0,0,0
Barku,777,0,0,0,0,0,0,0,0
Anlong Romiet,632.88,0,0,0,0,0,0,0,0
Preah Nipean,2337.2,0,0,0,0,0,0,0,0
Ou Bak Roteh,39193,40,2,250,15,30,0.6,520,10
Roka Kaoh,1363,9,1,12,1,12,0,10,20
Skuh,3622,0,0,0,0,0,0,0,0
Cheung Kaeub,2086,0,0,0,0,0,0,0,0
Roka Khpos,3465,0,0,0,0,0,0,0,0
Prey Khnes,5200,0,0,0,0,0,0,0,0
Tuek Thla,3342.89,0,0,0,0,0,0,0,0
Kampong Trach,5550,0,0,0,0,0,0,0,0
Preah Putth,510,0,0,0,0,0,0,0,0
Saen Dei,1698,6,2,2,5,0,0,2,20
Chambak,37000,11,0.5,250,7.5,0,0,350,3
Peam Mean Chey,2980,1,2,0,0,0,0,0,0
Kandaok,2089.3,0,0,0,0,0,0,0,0
Siem Reab,555,0,0,0,0,0,0,0,0
Thummoda Ar,3294,0,0,0,0,0,0,0,0
Svay Prateal,3570,350,12,0,0,0,0,0,0
Andoung Pou,2171,0,0,375,25,0,0,0,0
Trapeang Veaeng,1549,0,0,0,0,0,0,0,0
Thmei,590.4,0,0,0,0,0,0,0,0
Kouk Trab,707,0,0,0,0,0,0,0,0
Ba Baong,1995,0,0,0,0,0,0,0,0
Mukh Da,3021.7,0,0,2,4,0,0,0,0
Doung,3080,0,0,52,15,0,0,0,0
Theay,2914.24,0,0,0,0,0,0,0,0
Chres,2959,0,0,0,0,0,0,0,0
Trea,1112,0,0,0,0,0,0,0,0
Veal,2424.88,0,0,0,0,0,0,0,0
Mream,10450,0,0,0,0,0,0,0,0
Kiri Voan,2186,5.5,3,0,0,0,0,0,0
Angk Popel,1506,0,0,0,0,0,0,0,0
Chi Phoch,3606,0,0,0,0,0,0,0,0
Ampov Prey,855.3,0,0,0,0,0,0,0,0
Trapeang Sdau,4117,0,0,20,2.5,0,0,0,0
Chi Phat,480000,0,0,0,0,0,0.5,0,0
Pechr Muni,1373,0,0,0,0,0,0,0,0
Krang Ampil,2082,2.5,2,0,0,0,0,0,0
Traeuy Sla,5100,312,2.5,0,0,0,0,187,5
Preaek Slaeng,1035,0,0,0,0,0,0,0,0
S'ang Phnum,3510,0,0,0,0,0,0,10,16
Preaek Roka,1100,0,0,0,0,0,0,0.5,2
Traeng Trayueng,58500,40,10,8500,20,0,5,6000,15
Tbaeng,986,0,0,0,0,0,0,0,0
Prey Nheat,1593.3,0,0,0,0,0,0,0,0
Preaek Koy,1571,0,0,0,0,0,0,15,5
Ou,5188,18,0.5,13,1,0,0,16,1
Boeng Khyang,1733,0,0,0,0,0,0,0,0
Prasat,8720,0,0,0,0,0,0,0,0
Boeng Preah,3773.03,0,0,0,0,0,0,0,0
Srang,4065.86,0,0,0,0,0,0,5,0
Tuek L'ak,1541.42,0,0,0,0,0,0,0,0
Kokir Thum,4500,196.4,3,3,12,0,0,0,0
Prey Rumdeng,2234,0,0,0,0,0,0,0,0
Lumpong,2635.14,0,0,12,3,0,0,0,0
Krang Thnong,2804.99,0,0,0,0,0,0,25,3
Pot Sar,3429.73,0,0,0,0,0,0,0,0
Tang Doung,1098,0,0,0,0,0,0,0,0
Prey Kmeng,3937,30,1.5,4,1.5,0,0,30,5
Reaks Chey,2594,0,0,0,0,0,0,0,0
Chongruk,1891.79,0,0,0,0,0,0,0,0
Peam Ro,2254,0,0,0,0,0,0,1,2
Kaoh Khsach Tonlea,944,15,4,0,0,0,0,10,10
Angk Prasrae,2079,0,0,0,0,0,0,0,0
Tuek Vil,1481,10,3,0,0,0,0,0,0
Chantrei,2505,0,0,0,0,0,0,0,0
Kampong Phnum,7851,0,0,0,0,0,0,0,0
Preaek Khsach,2050,0,0,0,0,278,0,0,0
Kampong Seila,33071,9,0.9,120,15,2,0.5,47.5,9
Ta Lon,2913,30,5,0,0,0,0,5,30
Kandoeng,1783.42,0,0,0,0,0,0,0,0
Choam Sangkae,5966,30,2,25,15,0,0.5,300,0.5
Andoung Tuek,40793.9268,2,5,2.5,30,0,1,5,10
Svay Chacheb,3106,10,5,16,17,0,0,0,0
Trapeang Sab,1625.38,0,0,15,3.5,0,0,0,0
Banlich Prasat,2332,0,0,0,0,0,0,0,0
Spueu Kha,2881.9,0,0,0,0,0,0,0,0
Krang Yov,4800,0,0,0,0,0,0,0,0
Trapeang Srae,2952,0,0,0,0,0,0,0,0
Dambouk Rung,21936,25,0.6,1500,2,200,0,350,3
Roung Damrei,2400,0,0,0,0,0,0,0,0
Sour Phi,1157,0,0,0,0,0,0,0,0
Preaek Khsay Ka,481,0,0,0,0,0,0,0,0
Tuol Sala,1801,2,0.5,0,0,0,0,0,0
Champei,1895,0,0,0,0,0,0,0,0
Angkor Sar,2330,0,0,0,0,0,0,0,0
Kampong Ampil,3090,0,0,0,0,0,0,0,0
Thna Thnong,2115,0,0,0,0,0,0,0,0
Kaoh Khael,2256,460,2.6,0,0,0,0,12,25
Snam Krapeu,1903,0,0,0,0,0,0,0,0
Komar Reachea,2436.88,0,0,0,0,0,0,16,1
Spueu Ka,2242,0,0,0,0,0,0,0,0
Kandaol,15688.52,0,0,0,0,352,0,0,0
Thmea,1930,0,0,0,0,0,0,0,0
Doung,2405,0,0,0,0,0,0,0,0
Khpob,3321,25,5,0,0,0,0,18,20
Chrung Popel,2320,0,0,0,0,0,0,0,0
Cheung Phnum,1722,0,0,0,0,0,0,0,0
Doun Sa,1386.67,0,0,0,0,0,0,0,0
Svay Yea,2011.36,0,0,0,0,0,0,0,0
Chheu Kach,2763.15,0,0,0,0,0,0,0,0
Svay Rumpear,2274.58,0,0,0,0,0,0,0,0
Neak Loeang,1896,186,2.5,0,0,0,0,0,0
Preaek Khsay Kha,429,0,0,0,0,0,0,0,0
Preaek Tonloab,7429,800,2.5,0,0,0,0,87,0
Bos Mon,3290,0,0,45,60,0,0,0,0
Pea Ream,2035,0,0,0,0,0,0,0,0
Moha Ruessei,1840.71,0,0,0,0,0,0,0,0
Kou Khchak,3500.03,0,0,0,0,0,0,0,0
Sdok,1273,0,0,0,0,0,0,0,0
Preah Khae,3800,2,1.5,4,3,0,0,0,0
Krang Leav,2611.6,0,0,0,0,0,0,0,0
Kampong Soeng,3672,0,0,0,0,0,0,0,0
Meun Chey,2890,0,0,0,0,0,0,0,0
Chambak,1581,0,0,0,0,0,0,0,0
Preaek Ambel,4149,30,2,0,0,0,0,102,10
Kat Phluk,3342,3,1.5,0,0,0,0,0,0
Sdau Kaong,4143.85,0,0,0,0,0,0,0,0
Trapeang Krasang,1402.85,0,0,0,0,0,0,0,0
Pouthi Ban,4900,48,5,6,4,0,0,6.5,6
Leuk Daek,6975,12,2.1,0,0,0,0,0,0
Svay Angk,1668.62,0,0,0,0,0,0,0,0
Char,3186.3,0,0,0,0,0,0,0,0
Prey Vihear,2840.3,0,0,1,3,0,0,5,2
Angk Ta Sou,1372,0,0,0,0,0,0,0,0
Sangkae,2928.4,0,0,0,0,0,0,0,0
Kansoam Ak,3600,0,0,0,0,0,0,0,0
Svay Chek,3230,0,0,0,0,0,0,0,0
Tnaot,1401.7033,0,0,0,0,0,0,0,0
Kak,1035,0.7,1.2,0.5,2,0,0,0,0
Preaek Krabau,1569,822,3,0,0,0,0,0,0
Rumchek,3477.15,0,0,0,0,0,0,0,0
Rovieng,3808,0,0,0,0,0,0,0,0
Angkor Angk,3730.23,18,3,0,0,0,0,0,0
Thlok,1169.66,0,0,0,0,0,0,0,0
Pong Tuek,4160,0,0,0,0,0,0,0,0
Kokir Saom,6309,0,0,0,0,0,0,0,0
Pheakdei,3935,9,0.5,45,20,0,0,15,80
Preaek Dach,6372,820,4,0,0,0,0,30,9
Lvea,2432.05,0,0,0,0,0,0,0,0
Kdanh,1214,0,0,0,0,0,0,0,0
Tang Yab,1601.64,0,0,0,0,0,0,0,0
Pheari Mean Chey,1250,0,0,0,0,0,0,0,0
Snao,2425.9,0,0,2,5,0,0,0,0
Khvav,2964,0,0,0,0,0,0,0,0
Chumreah Pen,3835.55,0,0,0,0,0,0,0,0
Prey Chhor,2152.4,0,0,0,0,0,0,0,0
Kaoh Thum Kha,1309,20,4,0,0,0,0,7,49
Kraol Kou,3389.03,0,0,0,0,0,0,0,0
Kampong Chak,2090,0,0,0,0,0,0,0,0
Pou Mreal,1979,0,0,5,1.5,0,0,0,0
Tuol Ampil,2162,0,0,0,0,0,0,0,0
Phnhi Meas,11467,0,0,0,0,0,1,0,0
Krang Svay,2816.32,0,0,0,0,0,0,0,0
Prey Ta Ei,3000,0,0,75,5,0,0,0,0
Kaoh Thum Ka,450,8,1.4,1,2,0,0,0,0
Sla,1957.2,0,0,0,0,0,0,0,0
Svay Phluoh,2900,618.5,3,0,0,0,0,0,0
Kouk Pring,2348.98,0,0,0,0,0,0,0,0
Basedth,1958.59,0,0,1.2,2,6,0,0,0
Kampong Kong,4889,850,5,0,0,0,0,30,4
Kampong Trabaek,4388.8,0,0,0,0,0,0,0,0
Svay Rumpear,3080,0,0,0,0,0,0,0,0
Chi Kha Kraom,7140,0,0,0,0,50,1,35,10
Prasat,2908,0,0,0,0,0,0,0,0
Nitean,1752,2,3,9,3,0,0,0,0
Prey Lvea,2085.2,0,0,0,0,0,0,0,0
Pouthi Reach,1982.26,0,0,0,0,0,0,0,0
Trapeang Phleang,32851.6,105,3,8,2,0,0,15,3
Prey Phdau,2080,0,0,0,0,0,0,0,0
Kampong Reab,1942.87,200.58,4,0,0,0,0,0,0
Preaek Thmei,2119.06,732,4.5,0,0,0,0,25.61,14
Phong,1989,0,0,0,0,0,0,0,0
Reathor,3424,0,0,0,0,0,0,0,0
Champa,1554.03,0,0,0,0,0,0,0,0
Samraong,1827,0,0,0,0,0,0,0,0
Romeang Thkaol,3058.12,0,0,0,0,0,0,0,0
Sangkhoar,2219.4,0,0,0,0,0,0,0,0
Peam Reang,4351,782,5,0,0,0,0,3,24
Cheung Kuon,2518,0,0,0,0,0,0,0,0
Srae Chaeng,4843,22,2.5,50,8,0,5,13,8
Chey Kampok,2622,0,0,0,0,0,0,0,0
Ban Kam,1836.27,0,0,0,0,0,0,0,0
Pou Angkrang,3075,0,0,4,1.5,0,0,0,0
Svay Chrum,125580,0,0,0,0,0,0,0,0
Boeng Tranh Khang Cheung,3808,0,0,0,0,0,0,0,0
Pratheat,2436.13,0,0,0,0,0,0,0,0
Boeng Preav,127334,0,0,200,15,0,2,10,1.25
Ansaong,3115,0,0,0,0,0,0,0,0
Takaen,35642,120,2,22,2,0,0,25,1
Chek,2540.67,0,0,0,0,0,0,0,0
Chheu Teal,2746,0,0,0,0,0,0,0,0
Ou Saray,5346,17.86,1.5,20.95,3,0,2,525.2,4
Ta Suos,4176,0,0,0,0,0,0,0,0
Sambuor,5300,0,0,0,0,0,0,0,0
Srae Ambel,2245.7,0,0,0,0,10,2.5,4,2.9
Soengh,3673,0,0,0,0,0,0,0,0
Pou Rumchak,2700,0,0,0,0,0,0,0,0
Kampeaeng,2510.69,0,0,0,0,0,0,0,0
Monourom,2220,0,0,0,0,0,0,0,0
Pou Chamraeun,1529,0,0,6,3,0,0,0,0
Boeng Tranh Khang Tboung,2719,0,0,13,5,0,0,1,3
Ta Noun,26200,0,0,0,0,0,0,0,0
Angkor Reach,4340,0,0,0,0,0,0,0,0
Chamkar Luong,11140,0,0,0,0,0,2.5,33.5,2.5
Popeaet,4085,0,0,0,0,0,0,0,0
Sena Reach Otdam,4910.8,0,0,0,0,0,0,0,0
Chrouy Ta Kaev,2402,581,3,0,0,0,0,0,0
Thkov,2730.4,0,0,0,0,0,0,0,0
Peam Montear,4790,0,0,0,0,0,0,0,0
Prey Chhlak,280.75,0,0,0,0,0,0,0,0
Boeng Daol,4122,0,0,0,0,0,0,0,0
Prey Kabbas,2216,0,0,0,0,0,0,0,0
Preaek Sdei,4870.6,490,4,0,0,0,0,7,10
Trea,2646.19,0,0,0,0,0,0,0,0
Bavet,4926,0,0,120,6,0,0,0,0
Chrak Mtes,5260,0,0,70,3,0,0,0,0
Trapeang Thum Khang Cheung,2592.2,17,2,35,2.8,1,0,0,0
Kampong Prasat,3447,0,0,0,0,0,0,0,0
Ponley,5823,0,0,0,0,0,0,0,0
Kaoh Chek,3501,768,5,0,0,0,0,0,0
Thma Sa,24267,0,0,20,20,0,2,16,3
Cheang Tong,2990,7,4,13,3.5,0,350,0,0
Pou Ta Hao,155.6,0,0,0,0,0,0,0,0
Svay Rieng,428,0,0,0,0,0,0,0,0
Khpob Ateav,3551,0,0,0,0,0,0,0,0
Kandieng Reay,2440,0,0,0,0,0,0,0,0
Angkanh,1912.32,0,0,0,0,0,0,0,0
Kampong Chamlang,3500,0,0,0,0,0,0,0,0
Popel,2005.8,5,3,0,0,0,0,0,0
Otdam Soriya,2921,0,0,0,0,100,0,0,0
Preaek Chrey,6389,581,7,0,0,0,0,0,0
Svay Thum,2910.19,0,0,0,0,0,0,0,0
Chambak,3065.95,0,0,0,0,0,0,0,0
Chrey,1850.97,0,0,0,0,0,0,0,0
Svay Toea,2250,0,0,0,0,0,0,0,0
Krang Ta Yang,2900,0,0,0,0,0,0,0,0
Lumchang,2542,0,0,0,0,0,0,0,0
Koy Trabaek,400.3,0,0,0,0,0,0,0,0
Ba Srae,4202,0,0,5,2.5,0,0,0,0
Prey Poun,1947,0,0,0,0,0,0,0,0
Prey Phkoam,4729,0,0,0,0,0,0,3,2
Chrouy Svay,13323,10,1.7,400,15,12,0.5,3,0.1
Cheang Daek,7259.38,0,0,0,0,0,0,0,0
Kruos,2924.39,0,0,0,0,0,0,0,0
Chheu Kmau,4540,386,8,0,0,0,0,0,0
Kaoh Sdach,10345,0,0,0,0,30,0,0,0
Basak,4273.3,0,0,0,0,0,0,0,0
Bati,4004.7,0,0,0,0,0,0,0,0
Leay Bour,6237.4,0,0,2.15,8.5,0,0,0,0
Banteay Chakrei,6865,0,0,0,0,0,0,0,0
Preah Ponlea,2700,0,0,0,0,0,0,0,0
Prasoutr,3199,0,0,0,0,0,0,0,0
Prey Kokir,4242,0,0,0,0,0,0,0,0
Srae Knong,3346,15,1.5,0,0,25,0,0,0
Prey Angkunh,2100,0,0,0,0,0,0,0,0
Svay Ta Yean,4288,0,0,0,0,0,0,0,0
Trapeang Thum Khang Tboung,3458.6,163,2,1,3,0,5,1,10
Baray,4100,0,0,0,0,0,0,0,0
Sampov Pun,7902,350,5,0,0,0,0,100,12
Angkor Borei,4713,0,0,0,0,0,0,8,10
Ta Phem,3678.6,0,0,0,0,0,0,0,0
Roka Knong,1921.32,0,0,0,0,0,0,0,0
Prasat,2731.64,0,0,0,0,0,0,0,0
Sandar,3003,1354,7,0,0,0,0,0,0
Preaek Sambuor,1474,27,6.5,0,0,0,0,0,0
Preah Sdach,7482.4,0,0,0,0,0,0,0,0
Cham,3640.77,0,0,0,0,0,0,0,0
Angk Ta Saom,2974.7,0,0,0,0,0,0,0,0
Ruessei Srok,3004.92,0,0,0,0,0,0,0,0
Me Sar Thngak,2779.8,0,0,0,0,0,0,0,0
Samraong,2202.2,5,6,0.5,8,0,0,0,0
Snay Anhchit,7100,5,2,1.5,2,0,0,0,0
Samlei,4800,0,0,0,0,0,0,0,0
Samyaong,4175.5,0,0,0,0,0,0,0,0
Preaek Phtoul,4419,0,0,0,0,0,0,0,0
Prey Thum,1985.3,0,0,0,0,0,0,0,0
Sambuor,5472,0,0,0,0,0,0,0,0
Srangae,2792,0,0,0,0,0,0,0,0
Roka Krau,3448.23,0,0,0,0,0,0,0,0
Srae Ronoung,3331,0,0,0,0,0,0,0,0
Stueng Chhay,185000,0,0,0,0,205,0,20,5
Nhor,2900,0,0,0,0,0,0,0,0
Khsaetr,6600,0,0,0,0,0,0,0,0
Kus,5202.6,8,1.5,0.5,2,14,0,5,4
Kaoh Roka,4230,186,0.7,0,0,0,0,0,0
Kaoh Sampov,11043.3,0,0,0,0,0,0,0,0
K'am Samnar,3438,369,5,0,0,0,0,0,0
Kouk Thlok,6582,0,0,0,0,0,0,0,0
Chres,34880,0,0,0,0,0,0,0,0
Srae Samraong,2193,15,2,3,2,0,0,0,0
Banteay Krang,3000,0,0,0,0,0,0,0,0
Reach Montir,2001,0,0,0,0,0,0,0,0
Samraong,3625,0,0,0,0,0,0,0,0
Roneam,3334,0,0,6,2.3,0,0,0,0
Sameakki,20500,0,0,0,0,0,0,0,0
Nhaeng Nhang,2423,0,0,0,0,0,0,0,0
Trapeang Reang,157944,8.5,1.5,0.8,1.5,0,3,6,2
Cheung Kou,24350,0,0,0,0,0,0,15,2
Thlok,5511.1,0,0,0,0,0,0,0,0
Tram Kak,4173,4,0.8,1.5,1,0,2,3,9
Prey Sloek,3582.5,0,0,152,4,0,0,0,0
Khvav,3671,0,0,5.5,0.8,0,1,12,0.91
Tnaot,4300,0,0,0,0,0,0,0,0
Chres,3038.6,104,3,23,5,0,0,0,0
Chumpu Voan,4152,0,0,1.5,3,0,0,0,0
Kouk Pou,4500,0,0,0,0,0,0,0,0
Tuol Sdei,6019,0,0,12,10,0,0,0,0
Champei,2172,0,0,1.5,3,0,0,0,0
Chantrea,6025,0,0,0,0,118,0,0,0
Angkanh,1995.54,0,0,0,0,5,0,0,0
Thmei,4000,0,0,0,0,0,0,0,0
Neareay,2085,4,1,0,0,0,0,3,3.5
Chhuk,3580,5,1.4,1.5,0.3,80,0,0,0
Krang Snay,2644.14,5,1,15,5,0,0,0,0
Doung Khpos,2460,0,0,0,0,0,0,0,0
Angk Khnor,1481,0,0,0,0,0,0,0,0
Borei Cholsar,6600,0,0,0,0,0,0,0,0
Lbaeuk,6635,0,0,12,2,0,0,0,0
Samlanh,1646.39,0,0,0,0,0,0,0,0
Angk Kaev,3355.5,0,0,0,0,0,0,0,0
Mean Chey,3500,2,2,0.5,1,0,0,0,0
Dan Koum,1164,15,1.2,0,0,2,0,0,0
Prambei Mum,2021,0,0,0,0,2,0,0,0
Praphnum,2385,0,0,0,0,0,0,0,0
Tramaeng,1793.68,15,2.5,0,0,0,0,0,0
Boeng Nimol,2229.9,26,1.2,19,2,0,0.337,4.5,2
Romenh,7449,0,0,0,0,0,0,0,0
Thlea Prachum,3302,0,0,0,0,0,0,5,3
Tralach,1609,0,0,0,0,0,0,0,0
Satv Pong,1145.45,0,0,0,0,0,0,0,0
Chi Khma,1750,0,0,0,0,0,0,0,0
Angk Phnum Touch,1894.9951,0,0,1.7,20,0,0,0,0
Ankor Chey,1259.5,0,0,0,0,0,0,0,0
Dambouk Khpos,5641.08,180,1.5,0,0,0,1,2,1
Krang Sbov,1520,5,0.3,0,0,0,0,0,0
Sanlung,3047.8,0,0,0,0,0,0,0,0
Thmei,4400,0,0,0,0,5,0,10,10
Smaong,1247,0,0,0,0,0,0,0,0
