Commune,LSize_Ha,Corn_Ha,Corn_Yield,Cassava_Ha,CassaYield,Cashew_Ha,CasheYield,Mango_Ha,MangoYield
Boeng Pring,7546,0,0,0,0,0,0,0,0
Rotanak,9540,5,1.8,9,8,16,2,0,0
Ta Yaek,12205,0,0,4967.23,25,0,0,0,0
Roluos Mean Chey,76510,30,1,50,0.6,0,0,0,0
Pongro Leu,5290,0,0,0,0,0,0,0,0
Ou Ruessei Kandal,3157,50,0.3,3280,6,0,1.5,2,3
Rohas,7100.7,0,0,12.7,15.35,0,2,0,0
Reaksmei,1720,0,0,0,0,10,0,0,0
Kaev Poar,38210,8,2,0,0,0,0,0,0
Srangae,2607,0,0,0,0,0,0,0,0
Chrouy Sdau,9236,1,1.5,1.5,1,0,0,5,1.5
Prey Chas,1134,0,0,0,0,0,0,0,0
Sla Kram,1200,0,0,0,0,0,0,0,0
Krabei Riel,19014,12,2,0,0,0,0,0,0
Bakong,3500,15,1.2,20,1.4,0,0,0,0
Svay Dankum,4723,0,0,0,0,0,0,0,0
Kantreang,2656,0,0,0,0,0,0,0,0
Lvea,11500,0,0,0,0,0,0,0,0
A Buon Leu,5175047,5,2,4,18,4,0,0,0
Ampil Pram Daeum,16700,0,0,0,0,0,0,0,0
Ou Krieng,93890,0,0,0,0,0,0,0,0
Ta Meun,5545,0,0,0,0,0,0,0,0
Kandaek,8600,75,3,0,0,0,0,0,0
Sngkat Sambuor,2694,0,0,0,0,0,0,0,0
Sala Kamraeuk,811,0,0,0,0,0,0,0,0
Rung Chrey,5407,0,0,0,0,0,0,0,0
Romoneiy,59239.94,3,1.5,250,6,3,0.5,0,0
Chreav,5763,0,0,0,0,0,0,0,0
Kaoh Chiveang,19805,0,0,0,0,0,0,0,0
Ta Pung,6981,0,0,0,0,0,0,0,0
Rung Roeang,797312,0,0,15,5,27.5,2,0,0
Kaoh Preah,3058,0,0,31,9,0,0,0,0
Ruessei Lok,11369,15,3,250,5,0,2,40,5
Roluos,1247.96,0,0,0,0,0,0,0,0
Ou Mreah,10026,0,0,431,10,8,0,0,0
Nang Khi Lik,10710000,7,3,35,15,450,2,0,0
Trapeang Thum,3809,0,0,0,0,0,0,0,0
Samraong,23485,0,0,0,0,18,0,0,0
Khnach Romeas,8600,0,0,0,0,0,0,0,0
Bansay Traeng,5010,1.5,2,0,0,0,0,0,0
Mean Chey,1800,0,0,0,0,0,0,0,0
Kouk Khmum,4453,3,2.3,0,0,0,0,0,0
Sakream,34492,7,5,950,15,218,4,0,0
Mean Rith,83000,0,0,10640,12,21,1,12,0.5
Khchas,2948,0,0,0,0,0,0,0,0
Bavel,5900,0,0,0,0,0,0,0,0
Kampong Phluk,12329,0,0,0,0,0,0,0,0
Dam Daek,2632,0,0,0,0,0,0,0,0
Peam Aek,5752,5,4,0,0,0,0,0,0
Preaek Norint,10777,35,4,0,0,0,0,0,0
Popok,31408,0,0,560,25,0,1,0,0
Sangvaeuy,19430,0,0,30,20,211,0.8,0,0
