Province,District,Com_Code,Commune,TOTPOP,URBAN04,U_Den08,URB_RC2011,URB_RCSDC,U_Reclass,Male11,Female11,Family11,Den_2011,TOPOP11,TOT_Area_C,DENSITY
Kampong Cham,Kampong Cham,30501,Boeng Kok,8990,U,2333.1,U0411,U0411,1,3910,4076,1666,1.618893,7986,4933,2333.1
Kampong Cham,Kampong Cham,30502,Kampong Cham,8878,U,5482.3,U0411,U0411,1,4774,4776,2016,5.664294,9550,1686,5482.3
Kampong Cham,Kampong Cham,30504,Veal Vong,15978,U,5081.4,U0411,U0411,1,9624,9856,3686,71.355311,19480,273,5081.4
Kampong Cham,Suong,31702,Vihear Luong,12829,NU,178.9,0,USDC,1,6316,6797,3016,3.429275,13113,3823.84,178.9
Kampong Cham,Kampong Cham,30503,Sambuor Meas,13454,U,940.1,U0411,U0411,1,7036,7441,2668,0,14477,0,940.1
Kampong Cham,Tboung Khmum,31608,Chob,19273,U,379.3,UNU,U04F,1,9405,10027,4308,4.788471,19432,4058.08,379.3
Kampong Cham,Suong,31701,Suong,23067,U,608.4,U0411,U0411,1,11058,11585,4922,5.488693,22643,4125.39,608.4
Kampong Cham,Kang Meas,30704,Peam Chi Kang,6770,NU,320.1,0,UPD,1,4261,4782,2046,4.970976,9043,1819.16,320.1
Kandal,Ponhea Lueu,80903,Kampong Luong,10694,NU,572.5,U11,U11,1,3250,3043,1193,3.327306,6293,1891.32,572.5
Kandal,Mukh Kampul,80707,Roka Kong Ti Muoy,8518,NU,937.5,U11,U11,1,4102,4610,1735,20.792363,8712,419,937.5
Kampong Cham,Memot,31008,Memot,16261,NU,353.1,0,UPD,1,7811,7888,3176,3.1398,15699,5000,353.1
Kampong Cham,Memot,31005,Dar,20733,NU,184.7,0,UPD,1,4793,4895,1912,0.929037,9688,10428,184.7
Prey Veng,Sithor Kandal,141207,Preaek Changkran,6492,NU,840.6,U11,U11,1,3731,3872,1699,12.629568,7603,602,840.6
Kampong Cham,Srei Santhor,31409,Preaek Pou,12569,NU,460.8,0,UPD,1,7957,8328,3389,6.883827,16285,2365.69,460.8
Kampong Speu,Odongk,50511,Veang Chas,7655,U,1077.2,U0411,U0411,1,3433,3487,1487,10.406015,6920,665,1077.2
Kandal,Ponhea Lueu,80911,Phsar Daek,7619,NU,493.3,U11,U11,1,3846,4230,1801,7.27502,8076,1110.1,493.3
Kandal,Khsach Kandal,80306,Preah Prasab,8450,NU,677.1,U11,U11,1,4474,4529,1763,7.105762,9003,1267,677.1
Kandal,Mukh Kampul,80703,Preaek Anhchanh,14380,NU,337.1,U11,U11,1,6170,6465,2802,2.962124,12635,4265.52,337.1
Kandal,Ponhea Lueu,80910,Preaek Ta Teaen,8666,NU,853.7,U11,U11,1,4175,4199,1691,8.348703,8374,1003.03,853.7
Phnom Penh,Russey Keo,120713,Bak Kaeng,9153,NU,368.3,U11,U11,1,3175,3299,1561,2.432445,6474,2661.52,368.3
Phnom Penh,Saensokh,120806,Samraong,7792,NU,414.2,U11,U11,1,4808,5092,2216,5.256479,9900,1883.39,414.2
Phnom Penh,Russey Keo,120714,Kaoh Dach,12236,NU,551.9,U11,U11,1,6251,6724,3064,5.637162,12975,2301.69,551.9
