NCDD_Code,NCDD_CodeD,Acronym_D,Acronym_C,NCDD_CodeC,Com_Code,OCSCode,Commune,Per_HH_El
19,1904,M,S,190402,190402,190402,Srah Ruessei,64.021164
17,1702,D,C,170202,170202,170202,Leang Dai,0
17,1704,D,C,170404,170404,170404,Khvav,10.213478
1,102,D,C,10213,10213,10213,Ta Lam,23.585468
19,1904,M,S,190403,190403,190403,Preah Bat,55.805893
17,1703,D,C,170304,170304,170304,Rumchek,0
17,1706,D,C,170606,170606,170606,Sambuor,0
1,102,D,C,10201,10201,10201,Banteay Neang,58.655109
19,1904,M,S,190401,190401,190401,Stueng Traeng,79.66594
16,1605,D,C,160501,160501,160501,Chey Otdam,8.226221
1,102,D,C,10208,10208,10208,Rohat Tuek,39.389131
17,1707,D,C,170707,170707,170707,Lvea,12.791251
17,1707,D,C,170702,170702,170702,Doun Kaev,0.452318
16,1604,D,C,160402,160402,160402,Srae Angkrorng,1.612903
1,102,D,C,10212,10212,10212,Srah Reang,74.358974
19,1902,D,C,190203,190203,190203,Kaoh Sralay,0
17,1707,D,C,170708,170708,170708,Mukh Paen,2.344382
17,1703,D,C,170303,170303,170303,Preah Dak,12.507481
1,102,D,C,10206,10206,10206,Ou Prasat,86.452005
17,1713,D,C,171301,171301,171301,Boeng Mealea,0
1,102,D,C,10203,10203,10203,Chamnaom,8.05249
17,1703,D,C,170305,170305,170305,Run Ta Aek,0
17,1711,D,C,171107,171107,171107,Khnar Pou,0
1,102,D,C,10204,10204,10204,Kouk Ballangk,32.593037
13,1305,D,C,130505,130505,130505,Rik Reay,0
1,102,D,C,10211,10211,10211,Soea,4.243078
1,102,D,C,10210,10210,10210,Sambuor,12.019231
13,1305,D,C,130511,130511,130511,Romtum,0.343249
17,1711,D,C,171101,171101,171101,Chan Sa,0
19,1905,D,C,190503,190503,190503,Kang Cham,1.056803
13,1305,D,C,130506,130506,130506,Ruos Roan,0
17,1711,D,C,171108,171108,171108,Popel,1.665034
13,1306,D,C,130605,130605,130605,Ronak Ser,1.234568
19,1902,D,C,190206,190206,190206,Siem Bouk,17.613636
17,1707,D,C,170710,170710,170710,Puok,76.588629
17,1710,M,S,171003,171003,171003,Kouk Chak,78.005948
17,1710,M,S,171005,171005,171005,Nokor Thum,44.39433
13,1305,D,C,130508,130508,130508,Rieb Roy,2.875399
19,1902,D,C,190202,190202,190202,Kaoh Sampeay,4.10509
17,1707,D,C,170705,170705,170705,Khnat,56.891964
17,1709,D,C,170903,170903,170903,Ballangk,1.029295
6,606,D,C,60602,60602,60602,Dang Kambet,0
13,1305,D,C,130501,130501,130501,Robieb,49.384099
17,1710,M,S,171013,171013,171013,Tuek Vil,80.065359
1,102,D,C,10207,10207,10207,Phnum Touch,66.799822
17,1710,M,S,171011,171011,171011,Ampil,5.701754
17,1707,D,C,170713,170713,170713,Samraong Yea,89.973142
17,1707,D,C,170709,170709,170709,Pou Treay,7.654321
17,1704,D,C,170406,170406,170406,Kouk Thlok Leu,0
19,1902,D,C,190207,190207,190207,Srae Krasang,0
2,204,D,C,20404,20404,20404,Prey Khpos,0
11,1102,D,C,110203,110203,110203,Roya,4.220779
2,202,D,C,20207,20207,20207,Boeng Pring,67.344961
13,1305,D,C,130507,130507,130507,Rotanak,1.06383
17,1711,D,C,171110,171110,171110,Ta Yaek,0
10,1004,D,C,100406,100406,100406,Roluos Mean Chey,0
17,1704,D,C,170409,170409,170409,Pongro Leu,0
19,1902,D,C,190205,190205,190205,Ou Ruessei Kandal,0.102669
13,1305,D,C,130503,130503,130503,Rohas,0.833333
13,1305,D,C,130502,130502,130502,Reaksmei,16.498316
17,1707,D,C,170704,170704,170704,Kaev Poar,36.414343
17,1710,M,S,171010,171010,171010,Srangae,88.038698
2,202,D,C,20206,20206,20206,Chrouy Sdau,71.792261
2,205,D,C,20506,20506,20506,Prey Chas,47.511312
17,1710,M,S,171001,171001,171001,Sla Kram,100
17,1710,M,S,171012,171012,171012,Krabei Riel,52.525907
17,1709,D,C,170902,170902,170902,Bakong,31.180124
17,1710,M,S,171002,171002,171002,Svay Dankum,92.250986
17,1709,D,C,170905,170905,170905,Kantreang,27.513514
2,204,D,C,20403,20403,20403,Lvea,15.021459
11,1102,D,C,110202,110202,110202,A Buon Leu,3.236246
2,204,D,C,20405,20405,20405,Ampil Pram Daeum,0
10,1004,D,C,100405,100405,100405,Ou Krieng,6.892068
2,202,D,C,20202,20202,20202,Ta Meun,54.568457
17,1709,D,C,170906,170906,170906,Kandaek,49.71285
17,1710,M,S,171008,171008,171008,Sngkat Sambuor,26.246719
17,1710,M,S,171004,171004,171004,Sala Kamraeuk,99.917104
2,202,D,C,20210,20210,20210,Rung Chrey,47.005601
13,1305,D,C,130512,130512,130512,Romoneiy,11.565421
17,1710,M,S,171006,171006,171006,Chreav,77.128335
2,205,D,C,20507,20507,20507,Kaoh Chiveang,33.660934
2,202,D,C,20201,20201,20201,Ta Pung,47.018485
13,1305,D,C,130504,130504,130504,Rung Roeang,7.227488
19,1902,D,C,190201,190201,190201,Kaoh Preah,3.666667
17,1704,D,C,170410,170410,170410,Ruessei Lok,7.783985
17,1709,D,C,170908,170908,170908,Roluos,37.904762
19,1902,D,C,190204,190204,190204,Ou Mreah,4.743083
11,1102,D,C,110201,110201,110201,Nang Khi Lik,6.490872
17,1709,D,C,170909,170909,170909,Trapeang Thum,11.665627
17,1711,D,C,171109,171109,171109,Samraong,29.917355
2,204,D,C,20402,20402,20402,Khnach Romeas,40.676496
2,202,D,C,20209,20209,20209,Bansay Traeng,45.30558
17,1709,D,C,170907,170907,170907,Mean Chey,12.058024
2,202,D,C,20208,20208,20208,Kouk Khmum,73.388078
6,604,D,C,60404,60404,60404,Sakream,0
6,606,D,C,60604,60604,60604,Mean Rith,2.550572
17,1711,D,C,171106,171106,171106,Khchas,0.158061
2,204,D,C,20401,20401,20401,Bavel,50.053821
17,1709,D,C,170904,170904,170904,Kampong Phluk,0
17,1711,D,C,171102,171102,171102,Dam Daek,38.926655
2,205,D,C,20505,20505,20505,Peam Aek,78.220452
2,205,D,C,20501,20501,20501,Preaek Norint,59.424171
6,608,D,C,60808,60808,60808,Popok,0
17,1704,D,C,170411,170411,170411,Sangvaeuy,10.189573
2,205,D,C,20504,20504,20504,Preaek Luong,22.368421
17,1711,D,C,171103,171103,171103,Dan Run,4.438111
