Com_Code,Commune,TT_Family,RLUn_1Ha_N,RLUn_1Ha_P
130504,Rung Roeang,897,396,44.1472
190201,Kaoh Preah,300,66,22
170410,Ruessei Lok,2811,777,27.6414
170908,Roluos,1611,677,42.0236
190204,Ou Mreah,506,176,34.7826
110201,Nang Khi Lik,605,2,0.3306
170909,Trapeang Thum,1649,444,26.9254
171109,Samraong,1966,616,31.3327
20402,Khnach Romeas,2306,414,17.9532
20209,Bansay Traeng,2263,222,9.81
170907,Mean Chey,1167,526,45.0728
20208,Kouk Khmum,2836,418,14.7391
60404,Sakream,1773,428,24.1399
60604,Mean Rith,1421,409,28.7825
171106,Khchas,1952,1096,56.1475
20401,Bavel,5575,928,16.6457
170904,Kampong Phluk,650,0,0
171102,Dam Daek,2919,1560,53.443
20505,Peam Aek,3223,1154,35.8052
20501,Preaek Norint,3126,1637,52.3672
60808,Popok,1565,461,29.4569
170411,Sangvaeuy,2256,475,21.055
20504,Preaek Luong,2224,1238,55.6655
171103,Dan Run,2614,1408,53.8638
171105,Kien Sangkae,2063,568,27.5327
20803,Ta Pon,3199,801,25.0391
170405,Kouk Thlok Kraom,2998,1027,34.2562
20406,Kdol Ta Haen,2192,317,14.4617
60607,Sandan,2052,1252,61.0136
100401,Boeng Char,638,173,27.116
20203,Ou Ta Ki,3766,383,10.1699
21205,Ta Saen,1437,90,6.263
21206,Ta Krei,2709,623,22.9974
170408,Pongro Kraom,1979,414,20.9197
60402,Kraya,1498,526,35.1135
60606,Ngan,1721,675,39.2214
20205,Anlong Run,1106,453,40.9584
20503,Preaek Khpob,2025,983,48.5432
21204,Trang,1724,488,28.3063
170403,Kampong Kdei,2145,720,33.5664
171104,Kampong Khleang,2040,0,0
20306,Kdol Doun Teav,1874,289,15.4216
20804,Roka,1964,310,15.7841
21203,Ou Da,1492,172,11.5282
20502,Samraong Knong,2968,1615,54.4137
110205,Srae Huy,414,5,1.2077
20204,Chrey,3368,445,13.2126
21202,Boeng Reang,2458,853,34.703
20305,Sla Kaet,1373,25,1.8208
170407,Lveaeng Ruessei,2580,350,13.5659
20108,Ta Kream,4100,705,17.1951
20805,Kampong Preah,2077,624,30.0433
20304,Chamkar Samraong,3249,448,13.7889
60605,Mean Chey,1486,1108,74.5626
60809,Pralay,2725,1091,40.0367
20802,Norea,1141,316,27.695
240202,Stueng Trang,1962,456,23.2416
20309,Ou Char,2890,439,15.1903
20303,Rotanak,2801,122,4.3556
60405,Sala Visai,2736,812,29.6784
170412,Spean Tnaot,2195,767,34.9431
20701,Sdau,2000,100,5
60813,Trea,2624,1029,39.2149
60403,Phan Nheum,1163,546,46.9475
170402,Chi Kraeng,1914,755,39.4462
60407,Tuol Kreul,989,222,22.4469
20310,Svay Pao,3262,0,0
20801,Anlong Vil,4031,1177,29.1987
20301,Tuol Ta Aek,3612,15,0.4153
60406,Sameakki,853,140,16.4127
20605,Chrey,2564,204,7.9563
20302,Preaek Preah Sdach,2527,2,0.0791
20307,Ou Mal,2270,397,17.489
110206,Srae Sangkum,1240,148,11.9355
60601,Chheu Teal,1614,941,58.3024
20308,Voat Kor,2782,1563,56.1826
20809,Ou Dambang Pir,2630,828,31.4829
20808,Ou Dambang Muoy,2611,400,15.3198
170401,Anlong Samnar,2527,880,34.8239
21201,Kamrieng,1450,84,5.7931
20806,Kampong Preang,2182,290,13.2906
20810,Voat Ta Muem,3121,1209,38.7376
60401,Doung,1365,261,19.1209
20106,Phnum Sampov,3437,249,7.2447
240204,Ou Andoung,1196,154,12.8763
110204,Sokh Sant,597,50,8.3752
60608,Sochet,617,176,28.5251
20104,Chheu Teal,3662,1323,36.1278
20107,Snoeng,3641,516,14.1719
240201,Sala Krau,1132,309,27.2968
60609,Tum Ring,1284,317,24.6885
60503,Sambour,2840,817,28.7676
100409,Srae Chis,878,278,31.6629
60804,Kampong Chen Cheung,1403,646,46.0442
150105,Ou Ta Paong,3324,1045,31.438
60801,Banteay Stoung,2308,1233,53.4229
20807,Reang Kesei,1862,165,8.8614
20103,Bay Damram,1643,232,14.1205
