Com_Code,Commune,TT_Family,RLUn_1Ha_N,RLUn_1Ha_P
80402,Chrouy Ta Kaev,1860,829,44.5699
140313,Thkov,1522,762,50.0657
140308,Peam Montear,2442,275,11.2613
200602,Prey Chhlak,720,363,50.4167
140903,Boeng Daol,2741,1013,36.9573
210609,Prey Kabbas,1518,867,57.1146
80410,Preaek Sdei,4068,1938,47.6401
210711,Trea,2089,1395,66.7784
200802,Bavet,2939,411,13.9843
200803,Chrak Mtes,2260,366,16.1947
210914,Trapeang Thum Khang Cheung,1822,1042,57.1899
140602,Kampong Prasat,1130,219,19.3805
210104,Ponley,1495,729,48.7625
140603,Kaoh Chek,1362,137,10.0587
90104,Thma Sa,1833,311,16.9667
210902,Cheang Tong,2517,1753,69.6464
200604,Pou Ta Hao,432,30,6.9444
200601,Svay Rieng,2790,19,0.681
80503,Khpob Ateav,1174,294,25.0426
200703,Kandieng Reay,2123,492,23.1748
210601,Angkanh,1420,694,48.8732
200504,Kampong Chamlang,2710,1741,64.2435
210909,Popel,1855,1496,80.6469
210908,Otdam Soriya,2230,1742,78.1166
80409,Preaek Chrey,2173,851,39.1624
200515,Svay Thum,3066,1482,48.3366
200503,Chambak,2318,1297,55.9534
140304,Chrey,1679,805,47.9452
200606,Svay Toea,1240,415,33.4677
140606,Krang Ta Yang,2025,1039,51.3086
210706,Lumchang,1496,1110,74.1979
200603,Koy Trabaek,655,91,13.8931
210102,Ba Srae,2133,1085,50.8673
140312,Prey Poun,1784,1105,61.9395
210106,Prey Phkoam,2121,720,33.9463
90604,Chrouy Svay,1033,448,43.3688
140303,Cheang Daek,2427,647,26.6584
200511,Kruos,2938,1638,55.7522
80401,Chheu Kmau,2199,883,40.1546
90201,Kaoh Sdach,1023,0,0
200502,Basak,2060,953,46.2621
200801,Bati,1248,155,12.4199
210904,Leay Bour,4703,3321,70.6145
140902,Banteay Chakrei,3488,941,26.9782
200204,Preah Ponlea,1226,313,25.5302
200707,Prasoutr,1893,980,51.7697
200108,Prey Kokir,1219,120,9.8441
70405,Srae Knong,1321,746,56.4724
200805,Prey Angkunh,1531,431,28.1515
200209,Svay Ta Yean,2167,473,21.8274
210915,Trapeang Thum Khang Tboung,2198,1295,58.9172
210801,Baray,2468,1299,52.6337
80412,Sampov Pun,4206,1673,39.7765
210101,Angkor Borei,2769,1144,41.3146
210912,Ta Phem,3044,2434,79.9606
210802,Roka Knong,2711,927,34.194
200804,Prasat,584,62,10.6164
80507,Sandar,978,633,64.7239
140608,Preaek Sambuor,913,187,20.4819
140908,Preah Sdach,2832,855,30.1907
140302,Cham,2903,1036,35.6872
210901,Angk Ta Saom,3282,2078,63.3151
140609,Ruessei Srok,2164,1072,49.5379
200105,Me Sar Thngak,1368,136,9.9415
210910,Samraong,1596,1168,73.183
70403,Snay Anhchit,1267,592,46.7245
200207,Samlei,1697,189,11.1373
200208,Samyaong,664,157,23.6446
210105,Preaek Phtoul,1570,482,30.7006
200205,Prey Thum,943,155,16.4369
211009,Sambuor,2424,1176,48.5149
211012,Srangae,1924,1360,70.6861
210803,Roka Krau,3235,1525,47.1406
210911,Srae Ronoung,1753,778,44.3811
180404,Stueng Chhay,576,124,21.5278
200202,Nhor,1686,153,9.0747
200203,Khsaetr,2603,456,17.5182
210903,Kus,3372,2826,83.8078
140604,Kaoh Roka,1400,397,28.3571
140605,Kaoh Sampov,1860,237,12.7419
80502,K'am Samnar,1119,367,32.7971
210103,Kouk Thlok,629,284,45.151
200104,Chres,1646,652,39.6112
70406,Srae Samraong,1053,457,43.3998
200201,Banteay Krang,703,34,4.8364
200206,Reach Montir,898,303,33.7416
200109,Samraong,828,83,10.0242
211008,Roneam,1974,1447,73.3029
180209,Sameakki,953,403,42.2875
210905,Nhaeng Nhang,1452,535,36.8457
70407,Trapeang Reang,1545,642,41.5534
180204,Cheung Kou,2301,366,15.9061
211013,Thlok,2430,1422,58.5185
210913,Tram Kak,2838,2276,80.1973
211007,Prey Sloek,2388,1292,54.1039
211004,Khvav,2276,915,40.2021
200212,Tnaot,1720,443,25.7558
70401,Chres,1717,1172,68.2586
70402,Chumpu Voan,1974,965,48.8855
210305,Kouk Pou,2253,614,27.2526
200110,Tuol Sdei,645,154,23.876
70103,Champei,2213,716,32.3543
200103,Chantrea,887,115,12.9651
211001,Angkanh,1251,526,42.0464
200211,Thmei,1564,278,17.7749
70311,Neareay,1269,966,76.1229
70304,Chhuk,1769,884,49.9717
70307,Krang Snay,2182,1686,77.2686
210303,Doung Khpos,1312,460,35.061
211002,Angk Khnor,970,637,65.6701
210301,Borei Cholsar,802,286,35.6608
70308,Lbaeuk,1791,545,30.4299
70110,Samlanh,1505,728,48.3721
211006,Angk Kaev,859,118,13.7369
70310,Mean Chey,1100,576,52.3636
70105,Dan Koum,1399,998,71.3367
211005,Prambei Mum,1800,788,43.7778
70109,Praphnum,1225,394,32.1633
70314,Tramaeng,1451,1376,94.8312
70303,Boeng Nimol,1413,896,63.4112
210505,Romenh,2495,653,26.1723
210506,Thlea Prachum,1315,300,22.8137
211014,Tralach,1159,378,32.6143
70312,Satv Pong,1670,1234,73.8922
211003,Chi Khma,1024,342,33.3984
70101,Angk Phnum Touch,1115,551,49.417
70102,Ankor Chey,1028,340,33.0739
70104,Dambouk Khpos,3851,2449,63.5939
70306,Krang Sbov,1359,605,44.518
211010,Sanlung,1451,321,22.1227
70716,Thmei,1732,579,33.4296
211011,Smaong,1277,335,26.2334
70715,Stueng Kaev,1296,512,39.5062
210304,Kampong Krasang,890,210,23.5955
70301,Baniev,1290,887,68.7597
70111,Tani,2120,1369,64.5755
70305,Doun Yay,1350,930,68.8889
70313,Trapeang Bei,1264,279,22.0728
70713,Prey Thnang,2107,434,20.598
70509,Angk  Romeas,1496,748,50
70510,L'ang,1588,445,28.0227
210502,Pech Sar,1835,340,18.5286
210503,Prey Khla,2346,1040,44.3308
180105,Kaoh Rung,495,5,1.0101
210401,Angk Prasat,1978,440,22.2447
210406,Kouk Prech,2737,853,31.1655
70214,Voat Angk Khang Cheung,1572,1050,66.7939
70108,Phnum Kong,2386,1571,65.8424
70501,Damnak Sokram,924,477,51.6234
70508,Totung,1667,1196,71.7457
70505,Mean Ritth,1227,434,35.3708
70205,Samraong Leu,1299,817,62.8945
70204,Samraong Kraom,1413,1023,72.3992
70106,Daeum Doung,750,300,40
70210,Trapeang Sala Khang Kaeut,947,351,37.0644
180303,Tumnob Rolok,1537,0,0
180301,Kampenh,367,0,0
180211,Tuek L'ak,877,382,43.5576
210501,Krapum Chhuk,2095,737,35.179
70709,Makprang,1014,249,24.5562
70107,Mroum,1103,841,76.2466
180210,Samrong,1285,282,21.9455
70215,Voat Angk Khang Tboung,1426,1072,75.1753
180302,Ou Treh,709,0,0
180214,Veal Renh,1909,356,18.6485
210302,Chey Chouk,559,211,37.746
70502,Dang Tong,2236,1152,51.5206
70211,Trapeang Sala Khang Lech,1223,1077,88.0621
210410,Ream Andaeuk,1102,362,32.8494
210504,Prey Yuthka,1035,283,27.343
70712,Prey Khmum,1433,1080,75.3664
180212,Tuek Thla,1123,431,38.3793
70705,Kandaol,2367,1101,46.5146
70506,Srae Chea Khang Cheung,859,419,48.7776
180101,Muoy,3558,0,0
70213,Tuk Meas Khang Lech,2388,1542,64.5729
70507,Srae Chea Khang Tboung,688,501,72.8198
70703,Kampong Kraeng,1400,633,45.2143
180201,Andoung Thma,1266,348,27.4882
70201,Banteay Meas Khang Kaeut,1979,502,25.3663
70711,Preaek Tnoat,1841,833,45.2471
210404,Kampeaeng,1775,519,29.2394
210403,Kamnab,748,219,29.2781
70202,Banteay Meas Khang lech,1799,849,47.1929
70212,Tuk Meas Khang Kaeut,1250,731,58.48
210402,Preah Bat Choan Chum,3883,1675,43.1367
180203,Bet Trang,887,263,29.6505
70207,Sdach Kong Khang lech,1093,705,64.5014
70503,Khcheay Khang Cheung,997,782,78.4353
210408,Prey Ampok,1793,1008,56.2186
180208,Ream,2069,126,6.0899
180213,Tuol Totueng,859,210,24.447
210409,Prey Rumdeng,2443,525,21.49
180103,Bei,4250,0,0
70704,Kampong Samraong,623,386,61.9583
70504,Khcheay Khang Tboung,1121,838,74.7547
70717,Trapeang Pring,1445,1182,81.7993
70707,Kaoh Touch,1255,560,44.6215
70804,Andoung Khmer,2116,487,23.0151
180207,Prey Nob,1397,334,23.9084
210405,Kiri Chong Kaoh,1261,768,60.904
180102,Pir,2195,0,0
70719,Trapeang Thum,618,247,39.9676
180104,Buon,5252,16,0.3046
70701,Boeng Tuk,1103,609,55.2131
70603,Damnak Kantuot Khang Cheung,1387,861,62.0764
70606,Kampong Trach Khang Lech,1327,901,67.8975
70604,Damnak Kantuot Khang Tboung,1709,1475,86.3078
70802,Krang Ampil,903,167,18.4939
70803,Kampong Bay,1144,21,1.8357
70708,Koun Satv,1795,1333,74.2618
180206,Ou Oknha Heng,1571,235,14.9586
70607,Prasat Phnom Khyang•À_,542,146,26.9373
210407,Phnum Den,1975,877,44.4051
70206,Sdach Kong Khang Cheung,1444,371,25.6925
70702,Chum Kriel,1055,612,58.0095
70209,Tnoat Chong Srang,1931,564,29.2077
70718,Trapeang Sangkae,1038,760,73.2177
70801,Kampong Kandal,1376,4,0.2907
70805,Traeuy Kaoh,1338,834,62.3318
180202,Boeng Ta Prum,1312,442,33.689
210411,Saom,2229,1133,50.83
230103,Pong Tuek,2194,1121,51.0939
70609,Ang Sophy,1080,918,85
70208,Sdach Kong Khang Tboung,716,169,23.6034
230203,Ou Krasar,1496,1282,85.6952
210412,Ta Ou,2291,1087,47.4465
70203,Prey Tonle,626,157,25.0799
70608,Phnom Prasat,1070,447,41.7757
230202,Prey Thum,1756,1382,78.7016
70605,Kampong Trach Khang Kaeut,1985,1160,58.4383
180205,Ou Chrov,1236,140,11.3269
70612,Preaek Kroes,2047,1102,53.8349
70601,Boeng Sala Khang Cheung,1418,1286,90.6911
230201,Kaeb,1051,770,73.2636
70615,Svay Tong Khang Cheung,784,437,55.7398
230101,Angkaol,1631,1358,83.2618
70602,Boeng Sala Khang Tboung,1731,1115,64.4136
70613,Ruessei Srok Khang Kaeut,944,448,47.4576
70614,Ruessei Srok Khang Lech,2279,1166,51.1628
70616,Svay Tong Khang Tboung,1143,888,77.6903
20905,Samlout,1712,226,13.2009
120901,Trapeang Krasang,2934,373,12.713
120906,Samraong Kraom,1233,772,62.6115
120905,Kakab,5820,76,1.3058
120802,Tuek Thla,8503,0,0
120601,Stueng Mean chey,11594,0,0
120510,Prey Sa,1948,406,20.8419
210907,Trapeang Kranhoung,1944,686,35.2881
21006,Chrey Seima,1702,42,2.4677
21105,Ou Rumduol,1694,216,12.7509
21002,Angkor Ban,444,0,0
21001,Sampov Lun,442,0,0
21003,Ta Sda,884,30,3.3937
21004,Santepheap,2132,0,0
21005,Serei Mean Chey,2762,181,6.5532
21103,Bour,3738,703,18.8068
21104,Barang Thleak,2077,250,12.0366
21101,Phnum Proek,1292,212,16.4087
21102,Pech Chenda,3172,38,1.198
150206,Srae Sdok,2463,943,38.2866
171009,Siem Reab,3300,774,23.4545
171007,Chong Knies,1290,1,0.0775
150305,Kampong Luong,1193,1,0.0838
150205,Reang Til,869,0,0
150208,Sya,1494,604,40.4284
120904,Chaom Chau,12851,402,3.1282
120910,Kantaok,1814,925,50.9923
120909,Kamboul,1574,698,44.3456
