Com_Code,Commune,Family,PigFarm,PigRaised,ChickFarm,ChickRaise,DuckFarm,DuckRaised,CowFarm,CowRaised,BuffFarm,BuffRaised,Rpig,Rpoultry,Rcow,Rbuff
40703,Krang Lvea,1950,710,1351,1501,5096,175,824,1487,2966,146,240,1.9028,3.5322,1.9946,1.6438
30605,Kaoh Mitt,1656,75,216,914,3939,20,223,708,1387,0,0,2.88,4.4561,1.959,0
30604,Kokor,1335,271,915,924,4970,55,278,663,1262,14,35,3.3764,5.3606,1.9035,2.5
30102,Chbar Ampov,1398,424,598,960,5640,22,3508,583,844,131,284,1.4104,9.3157,1.4477,2.1679
31608,Chob,4308,116,486,1881,10122,88,378,291,857,37,96,4.1897,5.3327,2.945,2.5946
31007,Memong,1565,93,624,1276,8015,43,376,154,569,35,127,6.7097,6.3616,3.6948,3.6286
31701,Suong,4922,97,424,2168,7690,57,1169,281,841,21,66,4.3711,3.9816,2.9929,3.1429
40709,Thlok Vien,1292,222,464,724,2537,46,610,808,2121,35,111,2.0901,4.087,2.625,3.1714
31004,Choam Ta Mau,1849,454,877,1129,4439,28,205,364,949,102,272,1.9317,4.0138,2.6071,2.6667
40504,Kampong Tralach,1333,317,660,836,2394,122,1663,371,813,31,85,2.082,4.2349,2.1914,2.7419
31613,Lngieng,1464,74,217,791,2593,63,1572,324,762,85,162,2.9324,4.877,2.3519,1.9059
30705,Preaek Koy,2409,346,596,1725,10683,135,1939,796,1521,169,412,1.7225,6.786,1.9108,2.4379
30704,Peam Chi Kang,2046,40,323,1122,4320,10,70,1151,2777,0,0,8.075,3.8781,2.4127,0
40506,Ou Ruessei,2047,185,309,1225,5421,66,298,752,1637,2,10,1.6703,4.4299,2.1769,5
30703,Khchau,2014,92,587,1131,4427,70,1025,1267,3954,9,32,6.3804,4.5396,3.1208,3.5556
50801,Amleang,2262,1088,2431,1508,8872,164,1487,1721,6679,0,0,2.2344,6.1956,3.8809,0
30406,Tuek Chrov,2703,321,711,1532,14317,91,638,244,636,35,99,2.215,9.2144,2.6066,2.8286
30401,Chong Cheach,3249,19,90,144,2460,86,212,42,83,2,4,4.7368,11.6174,1.9762,2
40507,Peani,1851,180,537,1051,3117,43,310,1053,2128,31,102,2.9833,3.1325,2.0209,3.2903
31411,Ruessei Srok,1501,20,156,1145,4622,20,98,758,2318,0,0,7.8,4.0515,3.058,0
30802,Kaoh Sotin,2727,30,113,1767,7127,34,1165,817,1638,0,0,3.7667,4.6041,2.0049,0
31618,Sralab,3835,105,409,2790,10040,188,726,629,1515,257,607,3.8952,3.6152,2.4086,2.3619
30608,Kaoh Tontuem,824,121,232,506,1581,29,232,418,723,0,0,1.9174,3.3888,1.7297,0
90702,Pralay,192,21,46,190,1547,11,43,0,0,145,310,2.1905,7.9104,0,2.1379
30103,Chealea,1495,65,633,739,11171,29,38950,396,1194,54,149,9.7385,65.2617,3.0152,2.7593
31016,Kokir,1768,64,207,542,3165,118,405,100,263,24,99,3.2344,5.4091,2.63,4.125
31413,Svay Khsach Phnum,1253,18,198,931,4360,7,224,514,1154,0,0,11,4.887,2.2451,0
31404,Kaoh Andaet,1334,204,348,901,2998,9,31,653,860,0,0,1.7059,3.3286,1.317,0
30805,Moha Khnhoung,2363,151,556,1741,5334,56,533,1370,2900,0,0,3.6821,3.2649,2.1168,0
30107,Sambour,2701,386,2034,2064,15024,126,10542,792,1832,437,1033,5.2694,11.674,2.3131,2.3638
40708,Tbaeng Khpos,2100,168,510,1273,6297,51,963,1428,3823,1,6,3.0357,5.4834,2.6772,6
30801,Kampong Reab,1881,189,699,1158,4690,2,20,1128,2438,0,0,3.6984,4.0603,2.1613,0
30808,Preaek Ta Nong,2650,129,548,1741,6167,147,989,559,1469,1,3,4.2481,3.7903,2.6279,3
40705,Sedthei,1640,301,549,937,4635,45,630,1275,3879,14,32,1.8239,5.3615,3.0424,2.2857
31410,Preaek Rumdeng,3079,369,899,1907,7820,57,1685,987,2525,50,180,2.4363,4.8396,2.5583,3.6
50405,Ta Sal,1304,510,959,1068,3988,77,335,889,2463,30,93,1.8804,3.7755,2.7705,3.1
31614,Mong Riev,2149,191,694,1153,7274,222,3285,268,908,186,517,3.6335,7.6793,3.3881,2.7796
31408,Preaek Dambouk,2467,201,485,1409,8277,47,1239,511,1052,0,0,2.4129,6.5357,2.0587,0
40505,Longveaek,1818,194,745,1132,6854,62,852,1111,2542,70,204,3.8402,6.4539,2.288,2.9143
31107,Preah Theat,3399,171,1095,2391,8598,89,782,750,1791,587,1204,6.4035,3.7823,2.388,2.0511
30806,Peam Prathnuoh,2519,54,313,1493,6493,37,234,626,1498,0,0,5.7963,4.3967,2.393,0
30702,Kang Ta Noeng,2041,581,1592,1678,5561,227,967,1485,7122,3,7,2.7401,3.4268,4.796,2.3333
30708,Roka Ar,1983,83,148,941,2273,31,253,622,1775,2,8,1.7831,2.5988,2.8537,4
30404,Neang Teut,915,5,9,146,1130,15,153,75,335,1,4,1.8,7.9689,4.4667,4
30807,Pongro,1074,33,261,509,4425,13,124,298,752,3,10,7.9091,8.7146,2.5235,3.3333
31204,Kandaol Chrum,4425,438,1272,2660,16568,267,1932,1401,3289,702,1815,2.9041,6.3205,2.3476,2.5855
31013,Tramung,2635,95,312,1334,4282,39,183,180,514,15,38,3.2842,3.252,2.8556,2.5333
30710,Sdau,1306,298,575,897,2506,9,68,497,964,3,6,1.9295,2.8411,1.9396,2
31406,Phteah Kandal,1329,14,83,349,2655,0,0,189,548,1,1,5.9286,7.6074,2.8995,1
80905,Kaoh Chen,1998,107,231,752,3337,14,1422,194,475,14,48,2.1589,6.2128,2.4485,3.4286
31401,Baray,1935,914,1952,1411,5876,17,9050,231,452,1088,1722,2.1357,10.4524,1.9567,1.5827
30109,Tang Krang,2304,255,572,1309,6045,54,11991,789,2060,57,134,2.2431,13.2326,2.6109,2.3509
40707,Svay Chuk,2064,355,1158,1135,4330,65,949,1352,4793,0,0,3.262,4.3992,3.5451,0
80903,Kampong Luong,2042,17,128,949,13290,179,6447,128,375,5,18,7.5294,17.4973,2.9297,3.6
30803,Lve,2493,213,854,1316,6494,73,377,733,1397,2,4,4.0094,4.9467,1.9059,2
31604,Chikor,2789,151,532,1667,7233,193,979,807,1729,68,160,3.5232,4.4151,2.1425,2.3529
80707,Roka Kong Ti Muoy,1735,247,714,781,2774,43,799,316,554,0,0,2.8907,4.3362,1.7532,0
31209,Veal Mlu,1603,112,457,841,6575,45,753,243,697,9,28,4.0804,8.2709,2.8683,3.1111
80711,Svay Ampear,2050,93,393,54,6835,1,500,493,841,10,27,4.2258,133.3636,1.7059,2.7
31008,Memot,3176,138,738,1102,13934,15,161,89,234,6,25,5.3478,12.6186,2.6292,4.1667
31601,Anhchaeum,2874,308,1019,2190,6945,168,2093,407,937,1142,2123,3.3084,3.8329,2.3022,1.859
31207,Popel,2387,121,461,1055,8518,147,803,432,967,45,149,3.8099,7.7546,2.2384,3.3111
