NCDD_CodeP,NCDD_CodeD,NCDD_CodeC,Commune,SLR
5,502,50204,Sopoar Tep,1
5,502,50205,Svay Kravan,1
5,503,50301,Angk Popel,0
5,503,50302,Chongruk,0
5,503,50303,Moha Ruessei,0
5,503,50304,Pechr Muni,0
5,503,50305,Preah Nipean,0
5,503,50306,Prey Nheat,0
5,503,50307,Prey Vihear,0
5,503,50308,Roka Kaoh,0
5,503,50309,Sdok,0
5,503,50310,Snam Krapeu,0
5,503,50311,Srang,0
5,503,50312,Tuek L'ak,0
5,503,50313,Veal,0
5,504,50401,Haong Samnam,0
5,504,50402,Reaksmei Sameakki,0
5,504,50403,Trapeang Chour,0
5,504,50404,Sangkae Satob,0
5,504,50405,Ta Sal,0
5,505,50501,Chan Saen,0
5,505,50502,Cheung Roas,0
5,505,50503,Chumpu Proeks,0
5,505,50504,Khsem Khsant,0
5,505,50505,Krang Chek,0
5,505,50506,Mean Chey,0
5,505,50507,Preah Srae,0
5,505,50508,Prey Krasang,0
5,505,50509,Trach Tong,0
5,505,50510,Veal Pong,0
5,505,50511,Veang Chas,0
5,505,50512,Yutth Sameakki,0
5,505,50513,Damnak Reang,0
5,505,50514,Peang Lvea,0
5,505,50515,Phnom Touch,1
5,506,50601,Chambak,0
5,506,50602,Choam Sangkae,0
5,506,50603,Dambouk Rung,0
5,506,50604,Kiri Voan,0
5,506,50605,Krang Dei Vay,0
5,506,50606,Moha Sang,0
5,506,50607,Ou,0
5,506,50608,Prey Rumduol,0
5,506,50609,Prey Kmeng,0
5,506,50610,Tang Samraong,0
5,506,50611,Tang Sya,0
5,506,50613,Traeng Trayueng,0
5,507,50701,Roleang Chak,1
5,507,50702,Kahaeng,1
5,507,50703,Khtum Krang,0
5,507,50704,Krang Ampil,0
5,507,50705,Pneay,1
5,507,50706,Roleang Kreul,1
5,507,50707,Samrong Tong,1
5,507,50708,Sambour,1
5,507,50709,Saen Dei,0
5,507,50710,Skuh,1
5,507,50711,Tang Krouch,0
5,507,50712,Thummoda Ar,1
5,507,50713,Trapeang Kong,1
5,507,50714,Tumpoar Meas,0
5,507,50715,Voa Sar,0
5,508,50801,Amleang,0
5,508,50802,Monourom,0
5,508,50804,Prambei Mum,0
5,508,50805,Rung Roeang,0
5,508,50806,Toap Mean,0
5,508,50807,Veal Pon,0
5,508,50808,Yea Angk,0
6,601,60101,Bak Sna,0
6,601,60102,Ballangk,0
6,601,60103,Baray,1
6,601,60104,Boeng,0
6,601,60105,Chaeung Daeung,0
6,601,60106,Chraneang,0
6,601,60107,Chhuk Khsach,1
6,601,60108,Chong Doung,0
6,601,60109,Chrolong,0
6,601,60110,Kokir Thum,0
6,601,60111,Krava,0
6,601,60112,Andoung Pou,0
6,601,60113,Pongro,0
6,601,60114,Sou Young,0
6,601,60115,Sralau,0
6,601,60116,Svay Phleung,0
6,601,60117,Tnaot Chum,0
6,601,60118,Triel,0
6,602,60201,Chey,0
6,602,60202,Damrei Slab,0
6,602,60203,Kampong Kou,0
6,602,60204,Kampong Svay,1
6,602,60205,Nipech,0
6,602,60206,Phat Sanday,0
6,602,60207,San Kor,0
6,602,60208,Tbaeng,0
6,602,60209,Trapeang Ruessei,1
6,602,60210,Kdei Doung,0
6,602,60211,Prey Kuy,0
6,603,60301,Damrei Choan Khla,1
6,603,60302,Kampong Thum,1
6,603,60303,Kampong Roteh,1
6,603,60304,Ou Kanthor,1
