Name,Commission Year,Size,River,lat,lon,Country,Investor,Comments,Sources,,
Mae Ngat Somboon Chon,,9,,19.167,99.031,Thailand,,,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=68&Itemid=117,http://enipedia.tudelft.nl/wiki/Mae_Ngat_Somboon_Chon_Dam,
Nam Pung,,6,,17.973,103.983,Thailand,,,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=62&Itemid=117,http://enipedia.tudelft.nl/wiki/Nam_Pung_Powerplant,
Pak Mun,,136,,15.2823958,105.4680725,Thailand,,,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=63&Itemid=117,,
Rajjaprabha,,240,,8.972,98.806,Thailand,,,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=64&Itemid=117,http://enipedia.tudelft.nl/wiki/Rajjaprabha_(chiew_Larn)_Powerplant,
Rasi Salai,,,,15.34301473,104.0993582,Thailand,,CLOSED,,,
Sirikit,,500,,17.75976455,100.5630637,Thailand,,,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=59&Itemid=117,,
Sirindhorn,,36,,15.20613143,105.4276474,Thailand,,,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=57&Itemid=117,,
Srinagarind,,720,,14.40767693,99.13211768,Thailand,,,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=29&Itemid=133,,
Tha Thung Na,,38,,14.234,99.236,Thailand,,,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=67&Itemid=117,http://enipedia.tudelft.nl/wiki/Tha_Thung_Na_Powerplant,
Ubol Ratana,,25.2,,16.77637358,102.618434,Thailand,,,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=56&Itemid=117,,
Vajiralongkorn,,300,,14.79908446,98.59982808,Thailand,,,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=61&Itemid=117,,
A Luoi,2012,170,A Sap,16.2899,107.237,Vietnam,Vietnam,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,http://www.gdt.gov.vn/wps/portal/!ut/p/b0/04_Sj9CPykssy0xPLMnMz0vMAfGjzOKdA72dw7zDDAws_N0MDTxdAyw8PMz9DA2MTfULsh0VAZuviy4!/?WCM_GLOBAL_CONTEXT=/wps/wcm/connect/gdt+content/english/news/other/100244_149039,http://www.power-technology.com/projects/luoihydropower/
A Vuong,2008,210,,,,Vietnam,,,,,
Ban Ve,,320,,,,Vietnam,,,,,
Binh Dien,,44,,16.3009,107.444,Vietnam,,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,,
Buon Kuop,2009,280,,,,Vietnam,,,http://en.wikipedia.org/wiki/Bu%C3%B4n_Ku%E1%BB%91p_Hydroelectric_Power_Station,,
Buon Tua Srah,2009,86,,,,Vietnam,,,,,
Can Don,,76,,,,Vietnam,,,,,
Cau Se San,,,,14.01403863,107.5346035,Vietnam,,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,,
Coc Dam,,,,,,Vietnam,,,,,
Cua Dat,,,,19.8833,105.283,Vietnam,,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,,
Da Dang-2,,,,15.948,107.775,Vietnam,,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,,
Da Mi,2001,175,,11.326111,107.933611,Vietnam,,,http://en.wikipedia.org/wiki/H%C3%A0m_Thu%E1%BA%ADn_%E2%80%93_%C4%90a_Mi_hydroelectric_power_stations,,
Da Nhim,,160,,11.85147439,108.6129228,Vietnam,,,,,
Da Nhim-1,,,,11.8326,108.687,Vietnam,,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,,
Da Nhim-3,,,,11.6994,108.903,Vietnam,,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,,
Da Nhim-4,,,,11.6994,108.903,Vietnam,,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,,
Dac Ro Da,,,,14.3833,107.983,Vietnam,,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,,
Dak Drinh,,,,,,Vietnam,,,,,
Dak Ro Sa-2/dak Xu,,,,14.3833,107.983,Vietnam,,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,,
Dambri,,75,,11.5306,107.778,Vietnam,,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,,
Dasiat,,,,21.9833,106.767,Vietnam,,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,,
Dray Hlinh 1,1990,12,,,,Vietnam,,,,,
Ham Thuan,2001,300,,10.853,107.885,Vietnam,,,http://en.wikipedia.org/wiki/H%C3%A0m_Thu%E1%BA%ADn_%E2%80%93_%C4%90a_Mi_hydroelectric_power_stations,,
Hoa Binh,,1920,,20.80849914,105.3261806,Vietnam,,,,,
Huong Dien,,,Co Bi,16.4635,107.585,Vietnam,,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,http://www.power-technology.com/projects/luoihydropower/,
Krong Hnang,,64,,,,Vietnam,,,,,
Lai Chau,2017,1200,Da,22.139444,102.985278,Vietnam,,,http://en.wikipedia.org/wiki/Lai_Ch%C3%A2u_Dam,,
Na Hang,,342,,22.36,105.398611,Vietnam,,,http://en.wikipedia.org/wiki/Na_Hang_Dam,,
Nam Chien-1,,,,20.55,104.783,Vietnam,,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,,
Nam La,,,,21.3167,103.9,Vietnam,,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,,
Ngan Truoi Dam,,,,,,Vietnam,,,,,
Ngoi Phat,2010,72,Hong,22.553333,103.5575,Vietnam,,,http://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1279866820.34/view,,
Pleikrong,2008,100,,14.41407118,107.8640254,Vietnam,,,http://wikimapia.org/14067705/Pleikrong-Plei-Krong-Dam,,
Quang Tri,,64,,,,Vietnam,,,,,
Se San 3,2006,260,Se San,14.10724263,107.6517743,Vietnam,,,,,
Se San 3A,2007,96,Se San,,,Vietnam,,,,,
Se San 4,2009,360,Se San,,,Vietnam,,,,,
Se San 4a,2008,,Se San,13.7737,108.238,Vietnam,,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,,
Son La,,,,21.4958006,103.9965875,Vietnam,,,http://en.wikipedia.org/wiki/S%C6%A1n_La_Dam; http://www.internationalrivers.org/campaigns/son-la-dam,,
Song Ba Ha,,220,,,,Vietnam,,,,,
Song Hinh,,,,12.9775,108.898,Vietnam,,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,,
Sre Pok 3,2009,220,,,,Vietnam,,,,,
Sre Pok 4,2009,600,,,,Vietnam,,,,,
Tan An,,,,10.5333,106.417,Vietnam,,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,,
Thac Ba,,,,21.749,105.029,Vietnam,,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,,
Thac Mo,,,,11.83381356,106.9992487,Vietnam,,,,,
Thai Nguyen,,,,21.5672,105.825,Vietnam,,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,,
Tri An,1986,400,Dong Nai,11.10627502,106.9821344,Vietnam,,,http://en.wikipedia.org/wiki/Tr%E1%BB%8B_An_Dam,,
Trung Son,,260,,,,Vietnam,,,,,
Upper Kon Tum,2011,250,,14.3833,107.983,Vietnam,,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,,
Vinh Son (song Kon),,,,13.7667,109.233,Vietnam,,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,,
Vinh Son-2,,,,14.1665,108.903,Vietnam,,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,,
Vinh Son-3,,,,14.1665,108.903,Vietnam,,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,,
Xe Xan 3,,,,14.10724263,107.6517743,Vietnam,,,,,
Yali Falls,2001,720,,14.2273,107.829,Vietnam,,,http://enipedia.tudelft.nl/wiki/Vietnam/Powerplants,,
