Province,District,Commune,Vil_Code,Village,L1_HH,L2_HH,L1_Per_HH,L2_Per_HH,TOT_PerHH,TOP_HH,Rounds,Scale
Kampong Speu,Basedth,Pou Chamraeun,5010803,Trapeang Samraong,8,9,0.105,0.118,0.224,17,2011,1
Kampong Speu,Basedth,Pou Chamraeun,5010804,Sakkareak,7,7,0.083,0.083,0.167,14,2011,1
Kampong Speu,Basedth,Pou Chamraeun,5010805,Phnum Touch,11,15,0.129,0.176,0.306,26,2011,2
Kampong Speu,Basedth,Pou Chamraeun,5010806,Angk Ta Am,2,8,0.038,0.154,0.192,10,2011,1
Kampong Speu,Basedth,Pou Chamraeun,5010807,Srae Kuy,13,16,0.082,0.101,0.184,29,2011,1
Kampong Speu,Basedth,Pou Chamraeun,5010808,Trapeang Trayueng,17,5,0.233,0.068,0.301,22,2011,2
Kampong Speu,Basedth,Pou Chamraeun,5010809,Leang Chey Thmei,25,24,0.094,0.09,0.184,49,2011,1
Kampong Speu,Basedth,Pou Chamraeun,5010810,Trapeang Totuem,10,10,0.076,0.076,0.152,20,2011,2
Kampong Speu,Basedth,Pou Chamraeun,5010811,Leang Chey Chas,5,3,0.058,0.035,0.093,8,2011,1
Kampong Speu,Basedth,Pou Chamraeun,5010812,Prey Tbaeng,20,9,0.144,0.065,0.209,29,2011,1
Kampong Speu,Basedth,Pou Chamraeun,5010813,Prey Khlong,17,9,0.118,0.062,0.181,26,2011,2
Kampong Speu,Basedth,Pou Chamraeun,5010814,Khpob Run,7,11,0.064,0.101,0.165,18,2011,2
Kampong Speu,Basedth,Pou Mreal,5010901,Angk Daek Kandal,11,6,0.196,0.107,0.304,17,2011,1
Kampong Speu,Basedth,Pou Mreal,5010902,Chambak Run Khang Tboung,6,9,0.037,0.055,0.091,15,2011,1
Kampong Speu,Basedth,Pou Mreal,5010903,Srae Khnhaer,4,17,0.051,0.218,0.269,21,2011,1
Kampong Speu,Basedth,Pou Mreal,5010904,Chambak Run Khang Cheung,12,10,0.129,0.108,0.237,22,2011,1
Kampong Speu,Basedth,Pou Mreal,5010905,Mreal Thum,15,35,0.088,0.206,0.294,50,2011,1
Kampong Speu,Basedth,Pou Mreal,5010906,Mreal Tnaot Khang Cheung,11,24,0.112,0.245,0.357,35,2011,1
