Dis_Code,District,TOTPOP,DENSITY,NB_OUTMIGR,MIGRATION,NMR_PER100,Nb_InMIG_1,LSize_Skm
0607,Santuk,80229.00000000000,31.00000000000,8562,2233.00000000000,27.83000000000,10795,2592
0608,Stoung,104076.00000000000,61.00000000000,14545,-9570.00000000000,-91.95000000000,4975,1707
0701,Angkor Chey,72684.00000000000,229.30000000000,13736,-10000.00000000000,-146.54000000000,3085,317
0702,Banteay Meas,83022.00000000000,207.00000000000,13745,-9959.00000000000,-119.96000000000,3786,401
0703,Chhuk,99587.00000000000,77.00000000000,22391,-3397.00000000000,-34.11000000000,18994,1293
0704,Chum Kiri,47176.00000000000,105.30000000000,4889,-1604.00000000000,-34.00000000000,3285,448
0705,Dang Tong,54261.00000000000,172.30000000000,9566,-4737.00000000000,-87.30000000000,4829,315
0706,Kampong Trach,85776.00000000000,227.50000000000,18451,-10000.00000000000,-168.59000000000,3990,377
0707,Tuek Chhou,106977.00000000000,70.70000000000,18591,-6401.00000000000,-59.84000000000,12190,1514
0708,Krong Kampot,36367.00000000000,673.50000000000,4497,2530.00000000000,69.57000000000,7027,54
0801,Kandal Stueng,100460.00000000000,380.50000000000,13099,-2009.00000000000,-20.00000000000,11090,264
0802,Kien Svay,172950.00000000000,449.20000000000,19600,-1381.00000000000,-7.98000000000,18219,385
0803,Khsach Kandal,117322.00000000000,322.30000000000,13252,-7436.00000000000,-63.38000000000,5816,364
0804,Kaoh Thum,141470.00000000000,293.50000000000,21598,-20000.00000000000,-120.61000000000,4536,482
0805,Leuk Daek,54250.00000000000,144.30000000000,5798,-3882.00000000000,-71.56000000000,1916,376
0806,Lvea Aem,66734.00000000000,258.70000000000,9078,-5658.00000000000,-84.78000000000,3420,258
0807,Mukh Kampul,90748.00000000000,368.90000000000,10424,-279.00000000000,-3.07000000000,10145,246
0808,Angk Snuol,129865.00000000000,434.30000000000,10339,13078.00000000000,100.70000000000,23417,299
0809,Popnhea Lueu,115895.00000000000,343.90000000000,11046,-967.00000000000,-8.34000000000,10079,337
0810,S'ang,195445.00000000000,376.60000000000,26909,-10000.00000000000,-58.73000000000,15431,519
0811,Krong Ta Khmau,80141.00000000000,2585.20000000000,14560,10824.00000000000,135.06000000000,25384,31
0901,Botum Sakor,19978.00000000000,18.60000000000,2512,1262.00000000000,63.17000000000,3774,1075
0902,Kiri Sakor,6952.00000000000,10.20000000000,595,1117.00000000000,160.67000000000,1712,680
0903,Koh Kong,7356.00000000000,4.60000000000,2357,170.00000000000,23.11000000000,2527,1600
0904,Krong Khemarak Phoumin,25957.00000000000,259.60000000000,3066,4150.00000000000,159.88000000000,7216,100
0905,Mondol Seima,14584.00000000000,9.80000000000,1758,4103.00000000000,281.34000000000,5861,1483
0906,Srae Ambel,37623.00000000000,16.30000000000,4923,-787.00000000000,-20.92000000000,4136,2302
0907,Thma Bang,5031.00000000000,1.30000000000,1596,91.00000000000,18.09000000000,1687,3804
1001,Chhloung,52889.00000000000,61.10000000000,11729,-5759.00000000000,-108.89000000000,5970,866
1002,O Chtrie + Krong Kracheh,89705.00000000000,58.00000000000,14305,-4116.00000000000,-45.88000000000,10189,1547
1003,Preaek Prasab,59324.00000000000,43.00000000000,8492,-5078.00000000000,-85.60000000000,3414,1380
1004,Sambour,55696.00000000000,10.40000000000,4604,1607.00000000000,28.85000000000,6211,5369
1005,Snuol,61603.00000000000,21.90000000000,5646,13966.00000000000,226.71000000000,19612,2819
1101,Kaev Seima,19218.00000000000,6.10000000000,1108,7366.00000000000,383.29000000000,8474,3139
1102,Kaoh Nheaek,15209.00000000000,2.90000000000,1187,1451.00000000000,95.40000000000,2638,5282
1103,Ou Reang,3948.00000000000,3.50000000000,238,124.00000000000,31.41000000000,362,1133
1104,Pech Chreada,10392.00000000000,2.90000000000,585,2510.00000000000,241.53000000000,3095,3574
1105,Krong Saen Monourom,12340.00000000000,22.80000000000,1574,2978.00000000000,241.33000000000,4552,541
1201,Chamkar Mon,182004.00000000000,16545.80000000000,75501,12073.00000000000,66.33000000000,87574,11
1202,Doun Penh,126550.00000000000,15818.80000000000,54308,-681.00000000000,-5.38000000000,53627,8
1203,Prampir Meakkakra,91895.00000000000,45947.50000000000,35140,1080.00000000000,11.75000000000,36220,2
1204,Tuol Kouk,171200.00000000000,21400.00000000000,55282,37202.00000000000,217.30000000000,92484,8
1205,Dangkao,193227.00000000000,1011.70000000000,22944,62528.00000000000,323.60000000000,85472,191
1206,Mean Chey,266865.00000000000,5801.40000000000,32697,-30000.00000000000,-122.52000000000,0,46
1207,Ruessei Kaev + Saensokh,295874.00000000000,2714.40000000000,42219,100000.00000000000,339.36000000000,142627,109
1301,Chey Saen,20730.00000000000,18.90000000000,884,143.00000000000,6.90000000000,1027,1099
1302,Chhaeb,16731.00000000000,6.60000000000,850,67.00000000000,4.00000000000,917,2539
1303,Choam Khsant,25245.00000000000,6.70000000000,3282,1753.00000000000,69.44000000000,5035,3770
1304,Kuleaen,24824.00000000000,11.30000000000,1612,2223.00000000000,89.55000000000,3835,2188
1305,Rovieng,35633.00000000000,16.30000000000,2918,532.00000000000,14.93000000000,3450,2183
1306,Sangkum Thmei,17279.00000000000,13.10000000000,1112,-462.00000000000,-26.74000000000,650,1324
1307,Tbaeng Mean Chey + Krong PV,30697.00000000000,33.00000000000,3182,7031.00000000000,229.05000000000,10213,929
1401,Ba Phnum,72576.00000000000,212.20000000000,13391,-10000.00000000000,-150.82000000000,2445,342
1402,Kamchay Mear,74407.00000000000,160.40000000000,8167,-5425.00000000000,-72.91000000000,2742,464
1403,Kampong Trabaek,109291.00000000000,216.40000000000,15994,-10000.00000000000,-114.81000000000,3446,505
1404,Kanhchriech,54791.00000000000,173.40000000000,9599,-7301.00000000000,-133.25000000000,2298,316
1405,Me Sang,89885.00000000000,220.30000000000,11968,-10000.00000000000,-111.25000000000,1968,408
1406,Peam Chor,67531.00000000000,154.50000000000,6685,-2490.00000000000,-36.87000000000,4195,437
1407,Peam Ro,60791.00000000000,316.60000000000,8400,-3076.00000000000,-50.60000000000,5324,192
1408,Pea Reang,107086.00000000000,189.20000000000,14918,-10000.00000000000,-118.38000000000,2241,566
1409,Preah Sdach,110571.00000000000,228.50000000000,16014,-10000.00000000000,-112.74000000000,3548,484
1411,Kampong Leav,29259.00000000000,151.60000000000,6544,-5421.00000000000,-185.28000000000,1123,193
1412,Sithor Kandal,56486.00000000000,180.50000000000,8985,-7542.00000000000,-133.52000000000,1443,313
1410,Svay Antor + Krong Prey Veng,114698.00000000000,212.00000000000,23138,-20000.00000000000,-144.01000000000,6620,541
1501,Bakan,124829.00000000000,81.00000000000,34457,-20000.00000000000,-186.05000000000,11233,1542
1502,Kandieng,58066.00000000000,99.80000000000,5720,-3126.00000000000,-53.84000000000,2594,582
1503,Krakor,82902.00000000000,62.20000000000,9703,-988.00000000000,-11.92000000000,8715,1333
1504,Phnum Kravanh,59466.00000000000,17.40000000000,9196,-1842.00000000000,-30.98000000000,7354,3417
1505,Krong Pursat,58846.00000000000,167.20000000000,9980,-1131.00000000000,-19.22000000000,8849,352
1506,Veal Veaeng,13052.00000000000,3.00000000000,543,7629.00000000000,584.51000000000,8172,4360
1601,Andoung Meas,10365.00000000000,12.40000000000,881,-102.00000000000,-9.84000000000,779,838
1602,Krong Ban Lung,28982.00000000000,143.50000000000,4830,8111.00000000000,279.86000000000,12941,202
1603,Bar Kaev,19953.00000000000,42.70000000000,759,2673.00000000000,133.96000000000,3432,467
1604,Koun Mom,15505.00000000000,7.40000000000,1290,1435.00000000000,92.55000000000,2725,2100
1605,Lumphat,18975.00000000000,10.40000000000,811,2116.00000000000,111.52000000000,2927,1827
1606,Ou Chum,17982.00000000000,32.20000000000,574,1416.00000000000,78.75000000000,1990,558
1607,Ou Ya Dav,16420.00000000000,9.80000000000,567,1095.00000000000,66.69000000000,1662,1671
1608,Ta Veaeng,5835.00000000000,2.60000000000,390,151.00000000000,25.88000000000,541,2273
1609,Veun Sai,16449.00000000000,8.90000000000,935,-350.00000000000,-21.28000000000,585,1849
1701,Angkor Chum,53768.00000000000,112.30000000000,4594,-2120.00000000000,-39.43000000000,2474,479
1702,Angkor Thum,24335.00000000000,68.20000000000,1798,227.00000000000,9.33000000000,2025,357
1703,Banteay Srei,42773.00000000000,71.20000000000,6380,2848.00000000000,66.58000000000,9228,601
1704,Chi Kraeng,125367.00000000000,53.10000000000,12646,-7679.00000000000,-61.25000000000,4967,2362
1706,Kralanh,57690.00000000000,101.60000000000,10008,-5799.00000000000,-100.52000000000,4209,568
