Province,District,Com_Code,Commune,TT_Family,TT_M,TT_F,TT_Both,Both_UP_18,M_18_24,F_18_24,M_25_35,F_25_35,M_36_45,F_36_45,M_46_60,F_46_60,M_UP_61,F_UP_61,M_IM_UP_18,F_IM_UP_18,Both_IM_18,IM_UP_18_P,IM_POP_P
Otdar Meanchey,Trapeang Prasat,220505,Tumnob Dach,921,1991,2018,4009,2295,340,307,352,312,190,206,245,231,50,62,11,17,28,1.22000000000,0.70000000000
Otdar Meanchey,Samraong,220401,Bansay Reak,1992,4540,3888,8428,4695,619,589,614,471,596,422,481,421,238,244,179,168,347,7.39000000000,4.12000000000
Otdar Meanchey,Anlong Veaeng,220105,Thlat,814,1756,1808,3564,2119,335,284,262,280,204,224,241,214,38,37,15,28,43,2.03000000000,1.21000000000
Otdar Meanchey,Trapeang Prasat,220501,Bak Anloung,527,1219,1213,2432,1318,222,201,171,156,134,132,101,132,28,41,8,19,27,2.05000000000,1.11000000000
Otdar Meanchey,Anlong Veaeng,220106,Lumtong,1661,3702,3830,7532,3940,466,538,534,525,405,414,406,423,108,121,25,26,51,1.29000000000,0.68000000000
Banteay Meanchey,Thma Puok,010701,Banteay Chhmar,3611,7380,8391,15771,9653,1027,948,1059,1108,765,845,782,1868,622,629,478,293,771,7.99000000000,4.89000000000
Preah Vihear,Choam Ksant,130304,Rumdaoh Srae,857,1974,2118,4092,2077,170,237,211,228,220,203,199,202,222,185,0,4,4,0.19000000000,0.10000000000
Preah Vihear,Choam Ksant,130305,Yeang,1271,2585,2758,5343,2413,293,269,287,298,274,295,216,244,113,124,5,4,9,0.37000000000,0.17000000000
Otdar Meanchey,Samraong,220404,Samraong,3796,8276,8457,16733,9722,1084,1099,1336,1363,945,1008,1014,975,263,635,542,354,896,9.22000000000,5.35000000000
Otdar Meanchey,Trapeang Prasat,220506,Trapeang Prasat,4258,9778,9694,19472,10732,1426,1500,1486,1538,1043,1076,1023,1052,329,259,38,61,99,0.92000000000,0.51000000000
Otdar Meanchey,Samraong,220402,Bos Sbov,1085,2635,2350,4985,2838,444,358,422,392,259,234,263,264,89,113,25,19,44,1.55000000000,0.88000000000
Preah Vihear,Choam Ksant,130303,Pring Thum,529,1034,1105,2139,1209,126,95,173,173,130,140,95,112,71,94,0,5,5,0.41000000000,0.23000000000
Otdar Meanchey,Banteay Ampil,220202,Beng,3028,6859,6648,13507,7801,1059,1042,1086,1067,741,694,800,825,252,235,350,244,594,7.61000000000,4.40000000000
Preah Vihear,Chhaeb,130207,Kampong Sralau Muoy,482,1180,1274,2454,1211,157,166,153,161,112,122,80,114,59,87,57,65,122,10.07000000000,4.97000000000
Stung Treng,Siem Pang,190302,Sekong,1039,3002,3123,6125,3031,474,374,335,369,302,316,243,370,98,150,4,2,6,0.20000000000,0.10000000000
Ratanak Kiri,Andoung Meas,160103,Nhang,1370,3308,3572,6880,3239,291,479,406,438,349,367,308,275,165,161,0,0,0,0.00000000000,0.00000000000
Otdar Meanchey,Chong Kal,220302,Chong Kal,1724,4014,4128,8142,4689,568,565,579,579,510,528,429,433,223,275,118,76,194,4.14000000000,2.38000000000
Otdar Meanchey,Chong Kal,220304,Pongro,1050,2346,2398,4744,2612,355,361,404,391,244,244,231,252,58,72,106,99,205,7.85000000000,4.32000000000
Preah Vihear,Kuleaen,130406,Srayang,2460,5355,5516,10871,5236,664,626,709,772,482,504,465,561,220,233,4,32,36,0.69000000000,0.33000000000
Otdar Meanchey,Chong Kal,220303,Krasang,1366,2956,3034,5990,3310,452,453,471,448,321,345,288,319,90,123,205,90,295,8.91000000000,4.92000000000
Stung Treng,Siem Pang,190304,Srae Sambour,846,2175,2134,4309,1858,219,228,256,267,225,225,156,163,65,54,4,13,17,0.91000000000,0.39000000000
Ratanak Kiri,Veun Sai,160906,Kaoh Peak,710,1701,1736,3437,1415,184,150,181,149,128,145,119,154,103,102,0,0,0,0.00000000000,0.00000000000
Preah Vihear,Chhaeb,130203,Sangkae Muoy,309,730,726,1456,678,128,97,94,97,54,65,53,27,31,32,0,0,0,0.00000000000,0.00000000000
Preah Vihear,Chhaeb,130205,Mlu Prey Muoy,405,955,1005,1960,930,115,127,137,142,84,92,77,92,26,38,0,5,5,0.54000000000,0.26000000000
Banteay Meanchey,Thma Puok,010702,Kouk Romiet,4558,10188,9753,19941,11511,1547,1460,1735,1568,1091,1135,1118,1051,356,450,1496,1115,2611,22.68000000000,13.09000000000
Banteay Meanchey,Thma Puok,010706,Kumru,1808,4008,4096,8104,5793,663,641,743,768,442,469,491,546,514,516,190,128,318,5.49000000000,3.92000000000
Preah Vihear,Chhaeb,130208,Kampong Sralau Pir,430,957,1000,1957,1000,119,123,99,98,144,143,98,118,30,28,51,48,99,9.90000000000,5.06000000000
Preah Vihear,Chhaeb,130202,Chhaeb Pir,552,1429,1464,2893,1341,163,169,175,158,120,128,124,137,78,89,3,4,7,0.52000000000,0.24000000000
Ratanak Kiri,Andoung Meas,160104,Ta Lav,542,1221,1299,2520,1063,129,140,151,147,115,108,78,102,48,45,0,0,0,0.00000000000,0.00000000000
Banteay Meanchey,Thma Puok,010704,Thma Puok,1969,4239,4372,8611,5660,618,615,771,742,606,550,567,603,239,349,98,66,164,2.90000000000,1.90000000000
Banteay Meanchey,Phnum Srok,010301,Nam Tau,2636,5422,5708,11130,6833,865,938,940,1023,613,693,577,621,233,330,263,147,410,6.00000000000,3.68000000000
Ratanak Kiri,Veun Sai,160908,Pa Kalan,284,709,659,1368,753,94,105,109,105,83,77,73,48,26,33,0,0,0,0.00000000000,0.00000000000
Ratanak Kiri,Veun Sai,160904,Ka Choun,502,1119,1280,2399,1170,120,167,199,151,98,113,138,122,36,26,0,1,1,0.09000000000,0.04000000000
Preah Vihear,Kuleaen,130402,Kuleaen Cheung,764,1700,1778,3478,1727,214,292,191,299,150,192,106,113,80,90,3,2,5,0.29000000000,0.14000000000
Ratanak Kiri,Veun Sai,160901,Pong,503,965,1062,2027,1199,123,149,155,123,132,118,131,136,52,80,0,0,0,0.00000000000,0.00000000000
Ratanak Kiri,Ou Chum,160602,Pouy,705,1781,1466,3247,1923,139,214,234,202,118,177,532,161,73,73,0,0,0,0.00000000000,0.00000000000
Otdar Meanchey,Chong Kal,220301,Cheung Tien,1033,2095,2152,4247,2608,389,345,350,354,228,254,241,296,53,98,220,110,330,12.65000000000,7.77000000000
Siem Reap,Srei Snam,171206,Slaeng Spean,2063,5216,5112,10328,5600,761,731,852,777,538,540,479,576,160,186,98,45,143,2.55000000000,1.38000000000
Banteay Meanchey,Phnum Srok,010302,Poy Char,2519,5331,5522,10853,7124,941,901,895,1040,687,662,652,736,284,326,312,195,507,7.12000000000,4.67000000000
Siem Reap,Varin,171405,Varin,1767,3977,4032,8009,4011,616,629,573,610,334,348,318,356,98,129,55,38,93,2.32000000000,1.16000000000
Siem Reap,Varin,171402,Lvea Krang,653,1667,2071,3738,1675,214,229,253,232,144,155,126,156,67,99,34,3,37,2.21000000000,0.99000000000
Siem Reap,Varin,171403,Srae Nouy,3577,8214,8177,16391,8838,1280,1084,1324,1324,763,910,758,863,245,287,62,46,108,1.22000000000,0.66000000000
Ratanak Kiri,Veun Sai,160909,Phnum Kok,364,746,776,1522,771,56,93,130,123,88,81,70,66,28,36,0,0,0,0.00000000000,0.00000000000
