Province,District,Com_Code,Commune,TT_Family,TT_M,TT_F,TT_Both,Both_UP_18,M_18_24,F_18_24,M_25_35,F_25_35,M_36_45,F_36_45,M_46_60,F_46_60,M_UP_61,F_UP_61,M_IM_UP_18,F_IM_UP_18,Both_IM_18,IM_UP_18_P,IM_POP_P
Kampong Cham,Dambae,030404,Neang Teut,915,2056,2191,4247,2760,338,323,340,354,243,267,252,304,158,181,33,61,94,3.41000000000,2.21000000000
Kampong Cham,Kaoh Soutin,030807,Pongro,1074,1908,2202,4110,2656,303,280,289,321,261,265,219,300,182,236,15,12,27,1.02000000000,0.66000000000
Kampong Cham,Ponhea Kraek,031204,Kandaol Chrum,4425,10220,11211,21431,12390,1345,1416,1503,1669,1221,1456,1024,1187,685,884,15,22,37,0.30000000000,0.17000000000
Kampong Cham,Memot,031013,Tramung,2635,6070,6095,12165,7298,935,896,904,908,765,799,596,702,321,472,17,37,54,0.74000000000,0.44000000000
Kampong Cham,Kang Meas,030710,Sdau,1306,3127,3224,6351,3752,326,337,467,469,418,377,358,455,234,311,14,15,29,0.77000000000,0.46000000000
Kampong Cham,Srei Santhor,031406,Phteah Kandal,1329,3462,3678,7140,4918,436,427,608,689,470,472,406,645,349,416,8,30,38,0.77000000000,0.53000000000
Kandal,Ponhea Lueu,080905,Kaoh Chen,1998,4843,5451,10294,5966,732,780,804,872,462,592,431,579,306,408,6,25,31,0.52000000000,0.30000000000
Kampong Cham,Srei Santhor,031401,Baray,1935,5276,5362,10638,5888,396,416,539,570,563,596,784,713,525,786,10,7,17,0.29000000000,0.16000000000
Kampong Cham,Batheay,030109,Tang Krang,2304,5246,5410,10656,6712,823,823,837,887,619,709,552,625,383,454,19,29,48,0.72000000000,0.45000000000
Kampong Chhnang,Sameakki Mean Chey,040707,Svay Chuk,2064,4981,5224,10205,5629,900,982,607,713,474,522,449,512,203,267,116,31,147,2.61000000000,1.44000000000
Kandal,Ponhea Lueu,080903,Kampong Luong,2042,4960,4833,9793,6358,901,760,854,841,532,666,560,583,308,353,12,41,53,0.83000000000,0.54000000000
Kampong Cham,Kaoh Soutin,030803,Lve,2493,4920,5687,10607,7069,590,715,734,821,709,815,639,805,555,686,154,41,195,2.76000000000,1.84000000000
Kampong Cham,Tboung Khmum,031604,Chikor,2789,6030,6343,12373,7811,815,854,1134,1144,681,787,589,784,505,518,43,102,145,1.86000000000,1.17000000000
Kandal,Mukh Kampul,080707,Roka Kong Ti Muoy,1735,4102,4610,8712,6079,673,673,684,839,552,625,423,648,381,581,43,34,77,1.27000000000,0.88000000000
Kampong Cham,Ponhea Kraek,031209,Veal Mlu,1603,3693,3780,7473,4850,496,429,552,575,487,500,522,480,392,417,29,38,67,1.38000000000,0.90000000000
Kandal,Mukh Kampul,080711,Svay Ampear,2050,4476,4629,9105,5402,633,714,684,731,524,529,453,476,310,348,31,32,63,1.17000000000,0.69000000000
Kampong Cham,Memot,031008,Memot,3176,7811,7888,15699,8832,889,914,994,935,1055,992,889,944,605,615,19,18,37,0.42000000000,0.24000000000
Kampong Cham,Tboung Khmum,031601,Anhchaeum,2874,6385,6990,13375,8012,797,852,1030,1061,776,900,645,884,483,584,166,119,285,3.56000000000,2.13000000000
Kampong Cham,Ponhea Kraek,031207,Popel,2387,5546,5196,10742,6547,573,590,765,705,505,585,762,549,586,927,28,17,45,0.69000000000,0.42000000000
Kampong Cham,Memot,031005,Dar,4215,9701,9833,19534,11030,1192,1229,1353,1263,1155,1175,1030,1134,735,764,17,30,47,0.43000000000,0.24000000000
Prey Veng,Sithor Kandal,141207,Preaek Changkran,1699,3731,3872,7603,4599,336,348,441,472,452,467,644,766,346,327,26,21,47,1.02000000000,0.62000000000
Kampong Cham,Kaoh Soutin,030804,Moha Leaph,1704,3293,3541,6834,4776,533,493,600,659,437,455,331,462,341,465,28,16,44,0.92000000000,0.64000000000
Kampong Cham,Ponhea Kraek,031206,Kraek,8054,20597,20391,40988,24251,3386,3114,3496,3466,2176,2639,1832,2122,865,1155,37,34,71,0.29000000000,0.17000000000
Kampong Chhnang,Sameakki Mean Chey,040706,Svay,2341,5246,5508,10754,6611,808,780,919,976,577,594,581,733,266,377,83,55,138,2.09000000000,1.28000000000
Kampong Chhnang,Sameakki Mean Chey,040704,Peam,1795,4439,4673,9112,4978,629,670,661,679,463,532,316,500,198,330,11,7,18,0.36000000000,0.20000000000
Prey Veng,Sithor Kandal,141204,Pnov Ti Muoy,1515,3461,3583,7044,4449,448,500,553,612,340,469,413,484,334,296,132,65,197,4.43000000000,2.80000000000
Kandal,Mukh Kampul,080708,Roka Kong Ti Pir,1388,4028,3542,7570,4971,563,567,752,627,453,408,451,445,356,349,9,9,18,0.36000000000,0.24000000000
Kampong Cham,Memot,031003,Choam Kravien,2487,5770,6011,11781,6512,816,932,900,822,552,616,582,622,304,366,0,10,10,0.15000000000,0.08000000000
Kampong Chhnang,Sameakki Mean Chey,040701,Chhean Laeung,951,2281,2496,4777,2622,293,302,280,331,311,299,216,252,131,207,32,22,54,2.06000000000,1.13000000000
Kampong Cham,Ou Reang Ov,031108,Tuol Souphi,1903,4103,4587,8690,5469,539,572,682,715,558,718,413,533,304,435,180,138,318,5.81000000000,3.66000000000
Kampong Cham,Srei Santhor,031409,Preaek Pou,3389,7957,8328,16285,10735,882,955,1072,1243,1010,1089,1091,1170,1105,1118,19,22,41,0.38000000000,0.25000000000
Kandal,Khsach Kandal,080317,Ta Aek,646,1591,1695,3286,2208,178,189,274,276,281,294,195,185,175,161,5,7,12,0.54000000000,0.37000000000
Kampong Cham,Srei Santhor,031405,Mean Chey,2146,5542,6256,11798,7060,670,649,816,923,776,837,600,825,412,552,6,8,14,0.20000000000,0.12000000000
Prey Veng,Sithor Kandal,141210,Rumlech,1703,4138,4568,8706,5644,532,665,496,718,523,550,393,447,681,639,124,72,196,3.47000000000,2.25000000000
Kampong Cham,Ou Reang Ov,031105,Mien,2546,5940,6769,12709,7517,796,905,754,804,736,816,700,838,511,657,93,56,149,1.98000000000,1.17000000000
Prey Veng,Sithor Kandal,141203,Lve,1503,2848,3081,5929,3802,368,383,383,382,419,399,380,415,276,397,20,10,30,0.79000000000,0.51000000000
Kampong Cham,Ou Reang Ov,031101,Ampil Ta Pok,3564,8587,8845,17432,10812,1262,1197,1350,1332,1117,1107,868,1095,674,810,55,43,98,0.91000000000,0.56000000000
Kandal,Mukh Kampul,080704,Preaek Dambang,2807,6649,6043,12692,8047,915,868,959,978,887,851,796,710,567,516,23,14,37,0.46000000000,0.29000000000
Kandal,Ponhea Lueu,080914,Vihear Luong,1687,3609,3815,7424,4639,556,516,570,591,447,479,364,479,260,377,9,9,18,0.39000000000,0.24000000000
Kandal,Khsach Kandal,080304,Kaoh Chouram,1123,3169,3132,6301,4137,406,360,410,597,424,280,280,344,656,380,2,2,4,0.10000000000,0.06000000000
Kampong Cham,Ou Reang Ov,031103,Damril,2421,4573,5021,9594,6150,440,544,635,666,642,678,660,882,483,520,77,79,156,2.54000000000,1.63000000000
Kampong Cham,Srei Santhor,031407,Pram Yam,1438,3191,3485,6676,4832,345,376,521,526,499,546,752,817,179,271,6,14,20,0.41000000000,0.30000000000
Kandal,Ponhea Lueu,080904,Kampong Os,1660,3549,3681,7230,4471,497,467,694,729,385,370,366,461,233,269,10,15,25,0.56000000000,0.35000000000
Kampong Cham,Ou Reang Ov,031102,Chak,2920,6727,6933,13660,8622,775,806,977,1058,835,915,1159,1023,484,590,236,206,442,5.13000000000,3.24000000000
Prey Veng,Sithor Kandal,141202,Chrey Khmum,1373,3215,3442,6657,3773,461,482,406,400,415,393,337,337,271,271,81,29,110,2.92000000000,1.65000000000
Kampong Speu,Odongk,050511,Veang Chas,1487,3433,3487,6920,4645,538,496,616,626,421,433,382,451,295,387,6,11,17,0.37000000000,0.25000000000
Kandal,Mukh Kampul,080710,Sambuor Meas,2505,5283,5468,10751,5467,482,583,595,557,619,713,613,597,350,358,17,27,44,0.80000000000,0.41000000000
Kampong Cham,Ou Reang Ov,031104,Kong Chey,3706,8704,9242,17946,10111,991,954,1173,1190,1015,1092,926,1072,744,954,44,29,73,0.72000000000,0.41000000000
Kandal,Ponhea Lueu,080911,Phsar Daek,1801,3846,4230,8076,4741,583,563,660,690,378,468,387,486,238,288,23,20,43,0.91000000000,0.53000000000
Kampong Cham,Ponhea Kraek,031205,Kaong Kang,3386,8037,8334,16371,9940,1255,1229,1348,1428,1046,1008,754,862,472,538,12,14,26,0.26000000000,0.16000000000
Kandal,Khsach Kandal,080316,Svay Romiet,1223,2752,2940,5692,3874,451,417,449,469,376,448,319,417,220,308,5,4,9,0.23000000000,0.16000000000
Kampong Speu,Odongk,050507,Preah Srae,1804,4358,4632,8990,5458,669,593,731,823,472,520,378,527,328,417,5,5,10,0.18000000000,0.11000000000
Prey Veng,Sithor Kandal,141205,Pnov Ti Pir,861,1984,2292,4276,2380,295,360,273,324,240,272,172,205,104,135,42,19,61,2.56000000000,1.43000000000
Kampong Speu,Odongk,050510,Veal Pong,2683,6588,7183,13771,8329,1025,914,1044,1157,629,761,679,847,539,734,23,17,40,0.48000000000,0.29000000000
Kampong Cham,Ponhea Kraek,031202,Dountei,3098,6449,6795,13244,8295,967,943,971,1073,865,952,763,781,445,535,38,57,95,1.15000000000,0.72000000000
Kampong Cham,Srei Santhor,031412,Svay Pou,1627,3661,3928,7589,4843,590,536,547,773,358,411,400,462,354,412,18,8,26,0.54000000000,0.34000000000
Kampong Cham,Memot,031015,Triek,1273,2751,2750,5501,2910,350,358,410,415,224,290,221,320,130,192,4,12,16,0.55000000000,0.29000000000
Kampong Cham,Srei Santhor,031403,Khnar Sa,904,2889,3076,5965,3517,289,300,415,426,420,414,255,298,311,389,2,3,5,0.14000000000,0.08000000000
Kandal,Ponhea Lueu,080907,Ponhea Lueu,753,2875,2747,5622,2211,210,250,210,232,231,203,238,232,201,204,4,3,7,0.32000000000,0.12000000000
Kampong Speu,Thpong,050807,Veal Pon,1739,3809,4297,8106,4808,532,587,570,635,451,457,359,435,302,480,18,24,42,0.87000000000,0.52000000000
Kandal,Mukh Kampul,080709,Ruessei Chrouy,2108,4743,4833,9576,5869,703,687,725,743,555,558,492,553,398,455,91,39,130,2.22000000000,1.36000000000
Prey Veng,Pea Reang,140805,Mesar Prachan,2205,5429,6136,11565,7814,811,939,956,1164,719,706,565,781,481,692,58,37,95,1.22000000000,0.82000000000
Kampong Cham,Memot,031001,Chan Mul,1075,2587,2648,5235,3137,384,351,398,379,292,327,275,315,179,237,6,6,12,0.38000000000,0.23000000000
Kampong Cham,Ponhea Kraek,031203,Kak,4240,9359,9614,18973,10587,1407,1397,1251,1318,1131,1125,865,945,530,618,11,13,24,0.23000000000,0.13000000000
Prey Veng,Pea Reang,140809,Prey Sralet,2846,6253,6796,13049,8907,947,913,1254,1308,1011,1083,771,787,399,434,434,261,695,7.80000000000,5.33000000000
Prey Veng,Sithor Kandal,141208,Prey Daeum Thnoeng,1029,2160,2513,4673,2689,257,317,191,319,335,372,270,344,125,159,26,16,42,1.56000000000,0.90000000000
Kandal,Ponhea Lueu,080906,Phnum Bat,2359,5307,5701,11008,6517,708,704,842,885,571,578,516,751,413,549,26,8,34,0.52000000000,0.31000000000
Kandal,Khsach Kandal,080306,Preah Prasab,1763,4474,4529,9003,5415,445,579,677,595,651,684,497,659,332,296,0,0,0,0.00000000000,0.00000000000
Kampong Cham,Srei Santhor,031414,Tong Tralach,910,3371,2085,5456,3922,248,235,256,293,1547,237,236,254,331,285,1,9,10,0.25000000000,0.18000000000
Kampong Cham,Memot,031010,Rung,1897,4719,4778,9497,5225,692,669,548,598,497,504,435,540,340,402,2,4,6,0.11000000000,0.06000000000
Kandal,Ponhea Lueu,080913,Tumnob Thum,1598,3678,3869,7547,4377,484,534,602,703,379,434,387,438,173,243,17,8,25,0.57000000000,0.33000000000
Kandal,Mukh Kampul,080703,Preaek Anhchanh,2802,6170,6465,12635,7765,829,855,985,1298,775,759,725,738,346,455,37,18,55,0.71000000000,0.44000000000
Kampong Speu,Thpong,050802,Monourom,1088,2880,2881,5761,3377,511,354,397,430,311,336,279,309,202,248,12,4,16,0.47000000000,0.28000000000
Prey Veng,Sithor Kandal,141209,Prey Tueng,1867,4352,4672,9024,5695,554,790,678,733,643,663,484,460,329,361,236,21,257,4.51000000000,2.85000000000
Prey Veng,Sithor Kandal,141211,Ruessei Sanh,2094,4533,4792,9325,6354,479,495,721,760,658,697,837,862,387,458,0,0,0,0.00000000000,0.00000000000
Kampong Speu,Thpong,050804,Prambei Mum,1953,4716,4792,9508,4951,682,625,602,617,520,579,437,494,201,194,1,6,7,0.14000000000,0.07000000000
Kampong Cham,Srei Santhor,031402,Chi Bal,877,2247,1816,4063,2376,311,238,324,275,258,233,240,202,165,130,3,5,8,0.34000000000,0.20000000000
Kandal,Khsach Kandal,080310,Preaek Ta Meak,2792,6366,6597,12963,8197,729,835,1026,1148,824,832,757,735,667,644,6,6,12,0.15000000000,0.09000000000
Prey Veng,Sithor Kandal,141201,Ampil Krau,1493,3372,3441,6813,4067,364,412,511,489,430,415,412,433,294,307,91,104,195,4.79000000000,2.86000000000
Kampong Cham,Memot,031002,Choam,1334,3150,3146,6296,3120,370,369,356,350,305,271,316,338,216,229,2,6,8,0.26000000000,0.13000000000
Kampong Cham,Ponhea Kraek,031208,Trapeang Phlong,4423,9981,9641,19622,11117,1325,1269,1204,1229,1188,1200,1099,1053,748,802,71,39,110,0.99000000000,0.56000000000
Kandal,Ponhea Lueu,080910,Preaek Ta Teaen,1691,4175,4199,8374,5207,602,465,753,811,447,585,376,536,274,358,7,10,17,0.33000000000,0.20000000000
Kampong Speu,Aoral,050404,Sangkae Satob,1388,3228,3478,6706,3375,352,370,421,406,386,382,288,344,168,258,1,13,14,0.41000000000,0.21000000000
Prey Veng,Kanhchriech,140408,Tnaot,1206,2821,3263,6084,3995,438,450,405,567,382,411,283,425,255,379,21,21,42,1.05000000000,0.69000000000
Prey Veng,Pea Reang,140802,Kanhcham,3222,7094,7612,14706,9786,956,1216,1166,1429,889,1194,747,1045,446,698,532,115,647,6.61000000000,4.40000000000
Kampong Speu,Odongk,050509,Trach Tong,1544,3702,4142,7844,4527,486,509,589,671,412,466,337,455,282,320,3,3,6,0.13000000000,0.08000000000
Koh Kong,Thma Bang,090704,Ruessei Chrum,278,1057,557,1614,951,147,90,152,85,138,61,132,60,52,34,0,0,0,0.00000000000,0.00000000000
Kandal,Khsach Kandal,080312,Roka Chonlueng,1336,3015,3251,6266,3866,462,380,664,768,280,332,236,363,168,213,20,6,26,0.67000000000,0.41000000000
Prey Veng,Kanhchriech,140405,Kouk Kong Lech,1545,3393,3808,7201,4782,463,435,631,759,411,518,346,517,303,399,54,35,89,1.86000000000,1.24000000000
Prey Veng,Kanhchriech,140404,Kouk Kong Kaeut,1454,2963,3122,6085,3757,378,304,384,480,454,535,315,422,214,271,26,29,55,1.46000000000,0.90000000000
Kampong Speu,Thpong,050805,Rung Roeang,1891,4507,4939,9446,4965,595,609,678,649,430,495,375,486,284,364,6,7,13,0.26000000000,0.14000000000
Kandal,Khsach Kandal,080302,Chey Thum,1436,3537,3698,7235,4749,532,522,773,821,347,395,368,482,233,276,7,6,13,0.27000000000,0.18000000000
Kandal,Ponhea Lueu,080902,Chrey Loas,1821,4181,4470,8651,5363,646,639,766,868,402,471,473,587,221,290,1,8,9,0.17000000000,0.10000000000
Kandal,Khsach Kandal,080311,Puk Ruessei,2739,5704,6367,12071,7882,865,792,764,887,752,867,705,893,608,749,19,14,33,0.42000000000,0.27000000000
Phnom Penh,Russey Keo,120713,Bak Kaeng,1561,3175,3299,6474,4221,481,479,572,604,422,399,374,404,206,280,13,20,33,0.78000000000,0.51000000000
Kampong Speu,Odongk,050504,Khsem Khsant,1926,4996,5400,10396,5836,704,779,740,863,523,564,425,533,335,370,3,17,20,0.34000000000,0.19000000000
Prey Veng,Kanhchriech,140402,Kanhchriech,1464,3297,3687,6984,4481,266,320,421,452,415,449,358,485,511,804,43,30,73,1.63000000000,1.05000000000
Prey Veng,Sithor Kandal,141206,Pou Ti,1174,2717,3008,5725,4034,442,450,466,546,380,430,403,418,226,273,203,42,245,6.07000000000,4.28000000000
Prey Veng,Kamchay Mear,140201,Cheach,3225,6360,6807,13167,7701,853,821,978,1104,793,927,584,773,398,470,25,25,50,0.65000000000,0.38000000000
Kampong Speu,Odongk,050506,Mean Chey,1220,3031,3324,6355,3667,326,406,482,499,394,458,293,378,178,253,10,6,16,0.44000000000,0.25000000000
Kandal,Khsach Kandal,080313,Sanlung,2020,4148,4137,8285,4751,503,458,650,586,430,457,410,514,341,402,9,12,21,0.44000000000,0.25000000000
Prey Veng,Kanhchriech,140403,Kdoeang Reay,2990,6097,6793,12890,8602,983,1133,1034,1247,846,1011,632,863,369,484,209,85,294,3.42000000000,2.28000000000
Prey Veng,Kanhchriech,140407,Thma Pun,2069,4609,5395,10004,6940,459,588,781,964,657,912,775,957,355,492,136,59,195,2.81000000000,1.95000000000
Phnom Penh,Saensokh,120806,Samraong,1541,3264,3458,6722,4095,456,473,552,598,395,416,337,387,216,265,0,0,0,0.00000000000,0.00000000000
Kampong Speu,Odongk,050501,Chan Saen,1393,3369,3811,7180,4201,399,463,560,656,437,456,357,390,205,278,2,2,4,0.10000000000,0.06000000000
Prey Veng,Pea Reang,140811,Roka,3691,7684,8152,15836,10984,1168,1282,1464,1551,1124,1215,935,1176,484,585,406,83,489,4.45000000000,3.09000000000
Phnom Penh,Russey Keo,120714,Kaoh Dach,3064,6251,6724,12975,8766,851,892,1069,1139,887,858,738,990,591,751,4,10,14,0.16000000000,0.11000000000
Kampong Speu,Odongk,050512,Yutth Sameakki,1482,3799,3964,7763,4564,586,553,625,649,441,462,325,414,230,279,11,8,19,0.42000000000,0.24000000000
Kandal,Khsach Kandal,080318,Vihear Suork,2878,6957,7178,14135,8396,974,964,1109,1128,774,870,607,696,620,654,5,0,5,0.06000000000,0.04000000000
Prey Veng,Pea Reang,140807,Prey Pnov,4692,10323,10817,21140,13781,1685,1889,1508,1917,1557,1414,1192,1303,626,690,1754,805,2559,18.57000000000,12.11000000000
Kandal,Ponhea Lueu,080901,Chhveang,1797,4782,5000,9782,5612,624,667,742,758,538,532,499,592,285,375,8,4,12,0.21000000000,0.12000000000
Prey Veng,Pea Reang,140801,Kampong Popil,3175,7456,7889,15345,9279,940,942,1213,1362,924,977,663,812,672,774,4,20,24,0.26000000000,0.16000000000
Prey Veng,Kanhchriech,140401,Chong Ampil,2139,4665,5057,9722,6618,716,811,810,973,633,716,645,586,330,398,260,144,404,6.10000000000,4.16000000000
Kandal,Khsach Kandal,080314,Sithor,1669,3440,3818,7258,4072,453,468,544,480,323,455,338,409,271,331,53,39,92,2.26000000000,1.27000000000
Prey Veng,Kamchay Mear,140204,Krabau,2654,5092,5397,10489,6079,608,611,690,735,653,692,599,596,417,478,61,27,88,1.45000000000,0.84000000000
Phnom Penh,Saensokh,120805,Preaek Phnov,2557,5896,6265,12161,9064,997,1064,1010,1120,817,959,919,937,530,711,0,0,0,0.00000000000,0.00000000000
Kampong Speu,Thpong,050808,Yea Angk,1862,4643,4824,9467,5084,548,586,610,658,478,518,418,434,409,425,2,11,13,0.26000000000,0.14000000000
Prey Veng,Pea Reang,140810,Reab,2905,6855,6911,13766,9771,990,1104,1252,1272,859,1115,726,960,798,695,70,30,100,1.02000000000,0.73000000000
Prey Veng,Kanhchriech,140406,Preal,2613,5275,5676,10951,7231,708,686,891,934,630,754,621,766,542,699,560,327,887,12.27000000000,8.10000000000
Kandal,Angk Snuol,080809,Mkak,2118,5510,5925,11435,7112,786,730,892,1018,607,739,580,703,478,579,18,13,31,0.44000000000,0.27000000000
Koh Kong,Thma Bang,090703,Chumnoab,85,198,177,375,199,36,21,22,22,14,26,20,22,8,8,0,0,0,0.00000000000,0.00000000000
Phnom Penh,Russey Keo,120708,Preaek Lieb,3192,7493,9045,16538,10379,794,1012,978,1231,922,1225,1379,1752,545,541,0,0,0,0.00000000000,0.00000000000
Kandal,Khsach Kandal,080307,Preaek Ampil,2668,5615,5858,11473,7346,802,755,1061,1081,524,621,584,728,524,666,66,33,99,1.35000000000,0.86000000000
Phnom Penh,Saensokh,120804,Ponhea Pon,1406,3241,3439,6680,4172,430,412,584,657,353,443,295,379,266,353,0,0,0,0.00000000000,0.00000000000
Kandal,Khsach Kandal,080303,Kampong Chamlang,1237,2308,2459,4767,3028,375,290,391,534,253,267,202,287,192,237,0,0,0,0.00000000000,0.00000000000
Phnom Penh,Russey Keo,120709,Preaek Ta Sek,1277,3356,3686,7042,3922,437,434,417,533,396,400,370,387,259,289,0,1,1,0.03000000000,0.01000000000
Kampong Speu,Odongk,050502,Cheung Roas,1364,3673,3736,7409,4555,542,559,603,625,367,414,405,515,237,288,1,2,3,0.07000000000,0.04000000000
Prey Veng,Kamchay Mear,140205,Seang Khveang,2990,5201,5505,10706,6915,716,742,884,931,726,863,581,692,327,453,285,99,384,5.55000000000,3.59000000000
Kampong Speu,Odongk,050513,Damnak Reang,1345,3372,3586,6958,3871,398,481,534,684,360,399,260,343,175,237,8,10,18,0.46000000000,0.26000000000
Phnom Penh,Pur SenChey,120903,Phleung Chheh Roteh,1012,2466,2554,5020,3229,347,324,492,534,290,303,248,291,176,224,0,0,0,0.00000000000,0.00000000000
Phnom Penh,Russey Keo,120703,Svay Pak,2465,5915,6907,12822,7096,632,873,747,977,762,848,580,576,490,611,130,103,233,3.28000000000,1.82000000000
Koh Kong,Khemara Phoumin,090401,Smach Mean Chey,2013,4643,4750,9393,5387,550,616,535,559,821,782,580,618,190,136,48,36,84,1.56000000000,0.89000000000
,,120925,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000
Kandal,Khsach Kandal,080305,Kaoh Oknha Tei,1318,2734,2951,5685,3697,425,412,520,561,363,326,257,361,193,279,14,3,17,0.46000000000,0.30000000000
Prey Veng,Kamchay Mear,140208,Trabaek,1564,3373,3576,6949,4431,372,419,549,502,560,626,440,478,245,240,422,199,621,14.01000000000,8.94000000000
Prey Veng,Svay Antor,141308,Prey Khla,2409,4653,5046,9699,5878,632,631,741,835,587,694,497,598,299,364,406,209,615,10.46000000000,6.34000000000
Phnom Penh,Saensokh,120803,Khmuonh,3827,9767,9454,19221,11515,1445,1348,1614,1609,1305,1206,1026,927,515,520,0,1,1,0.01000000000,0.01000000000
Koh Kong,Kaoh Kong,090303,Ta Tai Kraom,233,534,510,1044,580,66,100,49,66,98,49,46,62,21,23,0,4,4,0.69000000000,0.38000000000
Kandal,Angk Snuol,080816,Tuol Prech,1434,3726,4116,7842,4545,521,534,682,770,381,450,317,415,192,283,14,7,21,0.46000000000,0.27000000000
Kandal,Khsach Kandal,080308,Preaek Luong,1288,2487,2697,5184,3439,358,361,362,453,263,361,244,302,284,451,24,20,44,1.28000000000,0.85000000000
Prey Veng,Kamchay Mear,140203,Kranhung,2880,6068,6584,12652,7875,848,859,977,1028,839,960,687,767,387,523,260,170,430,5.46000000000,3.40000000000
Prey Veng,Pea Reang,140808,Prey Sniet,1615,3865,4049,7914,5020,609,588,749,798,437,552,351,481,232,223,79,49,128,2.55000000000,1.62000000000
Kandal,Lvea Aem,080602,Barong,848,1960,2033,3993,1982,203,213,281,230,215,218,133,201,128,160,4,4,8,0.40000000000,0.20000000000
Koh Kong,Kaoh Kong,090304,Trapeang Rung,544,1233,1187,2420,1396,177,176,186,183,149,123,141,151,57,53,18,22,40,2.87000000000,1.65000000000
Kampong Speu,Aoral,050401,Haong Samnam,920,2351,2475,4826,2452,258,325,351,264,206,232,208,204,198,206,7,14,21,0.86000000000,0.44000000000
Phnom Penh,Russey Keo,120711,Chrang Chamreh Ti Muoy,1814,4735,5081,9816,6972,450,481,632,677,641,671,956,974,688,802,35,81,116,1.66000000000,1.18000000000
Kampong Speu,Aoral,050402,Reaksmei Sameakki,963,2283,2172,4455,2494,328,263,349,324,257,206,284,302,88,93,2,23,25,1.00000000000,0.56000000000
Kampong Speu,Odongk,050508,Prey Krasang,1663,4320,4562,8882,5466,614,651,656,703,465,548,452,495,404,478,0,12,12,0.22000000000,0.14000000000
Phnom Penh,Russey Keo,120712,Chrang Chamreh Ti Pir,2493,5992,6717,12709,9011,1057,1142,1387,1470,652,762,650,907,439,545,69,98,167,1.85000000000,1.31000000000
Koh Kong,Thma Bang,090706,Thma Doun Pov,125,251,251,502,258,32,33,37,28,27,31,19,19,12,20,0,0,0,0.00000000000,0.00000000000
Kampong Speu,Thpong,050806,Toap Mean,635,1567,1585,3152,1651,223,246,214,212,163,150,147,164,63,69,6,8,14,0.85000000000,0.44000000000
Prey Veng,Pea Reang,140803,Kampong Prang,1419,3370,3686,7056,4446,403,447,493,649,481,542,467,536,198,230,23,6,29,0.65000000000,0.41000000000
Phnom Penh,Russey Keo,120704,Kilomaetr Lekh Prammuoy,3330,7676,8585,16261,8778,1028,1073,944,998,792,784,853,824,680,802,59,57,116,1.32000000000,0.71000000000
Kampong Speu,Odongk,050505,Krang Chek,2800,7017,7575,14592,9149,1022,1005,1084,1309,780,820,759,916,670,784,15,46,61,0.67000000000,0.42000000000
Kampong Speu,Odongk,050514,Peang Lvea,1612,4375,4541,8916,5510,565,585,715,859,503,549,434,497,392,411,13,13,26,0.47000000000,0.29000000000
Kandal,Khsach Kandal,080309,Preaek Ta kov,1530,4832,3273,8105,5573,467,425,2082,515,341,376,406,416,245,300,14,8,22,0.39000000000,0.27000000000
Kampong Speu,Odongk,050515,Phnum Touch,2102,5317,5582,10899,6451,705,746,884,1049,545,585,534,617,329,457,4,9,13,0.20000000000,0.12000000000
Koh Kong,Srae Ambel,090605,Dang Peaeng,1596,4379,3832,8211,4801,760,601,764,597,471,367,454,361,220,206,23,46,69,1.44000000000,0.84000000000
Phnom Penh,Pur SenChey,120911,Ovlaok,800,2043,2135,4178,2622,218,170,300,337,227,277,244,308,253,288,0,0,0,0.00000000000,0.00000000000
Kandal,Khsach Kandal,080301,Bak Dav,919,2107,2164,4271,2819,311,316,410,432,223,250,232,267,178,200,20,34,54,1.92000000000,1.26000000000
Prey Veng,Svay Antor,141302,Chea Khlang,2246,4176,4277,8453,5699,665,653,850,830,519,577,444,490,322,349,427,120,547,9.60000000000,6.47000000000
Phnom Penh,Russey Keo,120706,Ruessei Kaev,5303,12614,14509,27123,12915,1435,1516,1258,1376,1378,1283,1303,1428,730,1208,34,28,62,0.48000000000,0.23000000000
Koh Kong,Khemara Phoumin,090402,Dang Tong,2432,6324,6159,12483,7432,895,940,902,941,875,888,751,856,201,183,181,86,267,3.59000000000,2.14000000000
,,140804,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000
Koh Kong,Khemara Phoumin,090403,Stueng Veaeng,549,1314,1229,2543,1551,204,210,214,230,156,139,181,129,51,37,24,6,30,1.93000000000,1.18000000000
Prey Veng,Svay Antor,141310,Svay Antor,2389,4844,5004,9848,6085,730,701,870,900,666,669,442,536,248,323,155,63,218,3.58000000000,2.21000000000
Prey Veng,Kamchay Mear,140202,Doun Koeng,1981,4373,4516,8889,5041,643,637,665,701,552,553,393,510,175,212,46,11,57,1.13000000000,0.64000000000
Phnom Penh,Russey Keo,120710,Chrouy Changvar,3433,10404,10515,20919,12823,1373,1495,1759,1714,1381,1244,1276,1225,683,673,60,90,150,1.17000000000,0.72000000000
,,120926,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000
Phnom Penh,Dangkao,120501,Dangkao,3716,8301,8488,16789,10368,1267,1208,1538,1597,963,962,758,928,445,702,0,0,0,0.00000000000,0.00000000000
