Dis_Code,District,Dis_Num,LSize_Skm,NB_EMIGRAN,Emigr_Skm,TOPOP,EmigPerPOP
0801,Kandal Stueng,801,263.63531217000,4900,18.58628102460,100460,48.77563209240
0802,Kien Svay,802,384.61356004500,7722,20.07729524430,172950,44.64874241110
0803,Khsach Kandal,803,364.10273818000,6684,18.35745601200,117322,56.97141201140
0804,Kaoh Thum,804,482.39473069500,7202,14.92968214980,141470,50.90831978510
0805,Leuk Daek,805,376.04024116600,2328,6.19082679232,54250,42.91244239630
0806,Lvea Aem,806,258.39719931000,4555,17.62790003980,66734,68.25606137800
0807,Mukh Kampul,807,246.23637495300,4599,18.67717554270,90748,50.67880283860
0808,Angk Snuol,808,299.39026845500,2756,9.20537602716,129865,21.22203827050
0809,Popnhea Lueu,809,336.85293157200,3340,9.91530631606,115895,28.81918978390
0810,S'ang,810,518.93492206200,8896,17.14280465970,195445,45.51664151040
