Dis_Code,District,Dis_Num,NB_EMIGRAN,LSize_Ha,LSize_Skm,TOPOP,Em_perSkm,Em_perPOP
1103,Ou Reang,1103,0,113318.66675800001,1133.18666758000,3948,0.00000000000,0.00000000000
1104,Pech Chreada,1104,4,357395.44574699999,3573.95445747000,10392,0.00111920844,0.38491147036
1105,Krong Saen Monourom,1105,1,54109.42469120000,541.09424691200,12340,0.00184810688,0.08103727715
1201,Chamkar Mon,1201,234,1115.33684004000,11.15336840040,182004,20.98020899150,1.28568602888
1202,Doun Penh,1202,196,768.24443137600,7.68244431376,126550,25.51271340150,1.54879494271
1203,Prampir Meakkakra,1203,124,219.94772314400,2.19947723144,91895,56.37703279100,1.34936612438
1204,Tuol Kouk,1204,108,796.70490937800,7.96704909378,171200,13.55583462950,0.63084112150
1205,Dangkao,1205,75,19135.37095010000,191.35370950100,193227,0.39194432235,0.38814451396
1206,Mean Chey,1206,112,4617.08056236000,46.17080562360,266865,2.42577530297,0.41968785716
1207,Ruessei Kaev + Sanesokh,1207,242,6205.29864957000,62.05298649570,295874,3.89989287650,0.81791573440
1301,Chey Saen,1301,14,109942.14496400001,1099.42144964000,20730,0.01273397022,0.67534973468
1302,Chhaeb,1302,12,253886.23811400001,2538.86238114000,16731,0.00472652637,0.71723148646
1303,Choam Khsant,1303,1,376972.17094099999,3769.72170941000,25245,0.00026527157,0.03961180432
1304,Kuleaen,1304,21,218807.37829900000,2188.07378299000,24824,0.00959748257,0.84595552691
1305,Rovieng,1305,35,218329.78622600000,2183.29786226000,35633,0.01603079479,0.98223556815
1306,Sangkum Thmei,1306,32,132367.80823200001,1323.67808232000,17279,0.02417506222,1.85195902541
1307,Tbaeng Mean Chey + KrongPV,1307,6,64369.36423210000,643.69364232100,30697,0.00932120438,0.19545883963
1401,Ba Phnum,1401,164,34231.73138740000,342.31731387400,72576,0.47908765742,2.25970017637
1402,Kamchay Mear,1402,109,46395.43919700000,463.95439197000,74407,0.23493688579,1.46491593533
1403,Kampong Trabaek,1403,170,50461.43793580000,504.61437935800,109291,0.33689091503,1.55548032317
1404,Kanhchriech,1404,75,31616.50669650000,316.16506696500,54791,0.23721785813,1.36883794784
1405,Me Sang,1405,63,40767.69189030000,407.67691890300,89885,0.15453413495,0.70089558881
1406,Peam Chor,1406,132,43706.64552520000,437.06645525200,67531,0.30201356891,1.95465786083
1407,Peam Ro,1407,53,19243.81301250000,192.43813012500,60791,0.27541319366,0.87183958152
1408,Pea Reang,1408,84,56644.90597400000,566.44905974000,107086,0.14829224015,0.78441626356
1409,Preah Sdach,1409,205,48352.18502410000,483.52185024100,110571,0.42397256690,1.85401235405
1410,Krong Prey Veng + Svay Anthor,1410,166,6858.86855254000,68.58868552540,114698,2.42022425023,1.44727894122
1411,Kampong Leav,1411,20,19329.39873090000,193.29398730900,29259,0.10346933331,0.68355036057
1412,Sithor Kandal,1412,110,31281.68132360000,312.81681323600,56486,0.35164350299,1.94738519279
1501,Bakan,1501,1674,154172.91766199999,1541.72917662000,124829,1.08579381216,13.41034535240
1502,Kandieng,1502,167,58202.04072570000,582.02040725700,58066,0.28693151978,2.87603761237
1503,Krakor,1503,244,133271.40262000001,1332.71402620000,82902,0.18308503940,2.94323418012
1504,Phnum Kravanh,1504,279,341721.36971699999,3417.21369717000,59466,0.08164546462,4.69175663404
1505,Krong Pursat,1505,307,35233.51022660000,352.33510226600,58846,0.87132958943,5.21700710329
1506,Veal Veaeng,1506,3,435977.72298299999,4359.77722983000,13052,0.00068810855,0.22984983144
1601,Andoung Meas,1601,1,83786.53926370000,837.86539263700,10365,0.00119350913,0.09647853353
1602,Krong Ban Lung,1602,20,20169.34810210000,201.69348102100,28982,0.09916036899,0.69008350010
1603,Bar Kaev,1603,2,46733.44738890000,467.33447388900,19953,0.00427959013,0.10023555355
1604,Koun Mom,1604,0,209997.49300900000,2099.97493009000,15505,0.00000000000,0.00000000000
1605,Lumphat,1605,1,182705.08891699999,1827.05088917000,18975,0.00054733013,0.05270092227
1606,Ou Chum,1606,1,55816.14270840000,558.16142708400,17982,0.00179159639,0.05561116672
1607,Ou Ya Dav,1607,0,167136.78177100001,1671.36781771000,16420,0.00000000000,0.00000000000
1608,Ta Veaeng,1608,1,227275.32057700001,2272.75320577000,5835,0.00043999498,0.17137960583
1609,Veun Sai,1609,0,184942.49557400000,1849.42495574000,16449,0.00000000000,0.00000000000
1701,Angkor Chum,1701,48,47903.91943410000,479.03919434100,53768,0.10020056932,0.89272429698
1702,Angkor Thum,1702,8,35725.65289770000,357.25652897700,24335,0.02239287277,0.32874460653
1703,Banteay Srei,1703,14,60071.32556100000,600.71325561000,42773,0.02330562855,0.32730928389
1704,Chi Kraeng,1704,114,236239.50242400001,2362.39502424000,125367,0.04825611248,0.90933020651
