NCDD_CodeD,District,TOTPOP,DENSITY,NB_OUTMIGR,MIGRATION,NMR_PER100,Nb_InMIG_1,LSize_Skm,NB_EMIGRAN_PP,Emigr_Skm_PP,EmigPerPOP_PP,NB_EMIGRAN_PAI,Em_perSkm_PAI,Em_perPOP_PAI
808,Angk Snuol,129865,434.3,10339,13078,100.7,23417,299.3902685,2756,9.205376027,21.22203827,98,0.327331949,0.754629808
809,Popnhea Lueu,115895,343.9,11046,-967,-8.34,10079,336.8529316,3340,9.915306316,28.81918978,124,0.368113169,1.069933992
810,S'ang,195445,376.6,26909,-10000,-58.73,15431,518.9349221,8896,17.14280466,45.51664151,341,0.657115152,1.744736371
811,Krong Ta Khmau,80141,2585.2,14560,10824,135.06,25384,31.36041468,5029,160.3613999,62.75189978,94,2.997409345,1.172932706
901,Botum Sakor,19978,18.6,2512,1262,63.17,3774,1074.749548,237,0.220516492,11.86304935,18,0.016748088,0.90099109
902,Kiri Sakor,6952,10.2,595,1117,160.67,1712,680.1111384,88,0.129390617,12.65822785,26,0.038229046,3.739930955
903,Koh Kong,7356,4.6,2357,170,23.11,2527,1599.979887,454,0.283753567,61.71832518,67,0.041875526,9.108210984
904,Krong Khemarak Phoumin,25957,259.6,3066,4150,159.88,7216,100.3652117,371,3.696499951,14.29286898,57,0.567925869,2.195939438
905,Mondol Seima,14584,9.8,1758,4103,281.34,5861,1482.537927,239,0.161210041,16.38782227,24,0.016188456,1.645639057
906,Srae Ambel,37623,16.3,4923,-787,-20.92,4136,2302.261789,901,0.391354278,23.94811684,47,0.020414707,1.24923584
907,Thma Bang,5031,1.3,1596,91,18.09,1687,3803.54581,63,0.016563492,12.52236136,11,0.002892038,2.186444047
1001,Chhloung,52889,61.1,11729,-5759,-108.89,5970,865.8694154,1990,2.298268035,37.62597137,63,0.072759239,1.191173968
1002,O Chtrie + Krong Kracheh,89705,58,14305,-4116,-45.88,10189,1546.985965,2693,1.740804416,30.02062315,572,6.452918005,6.376456162
1003,Preaek Prasab,59324,43,8492,-5078,-85.6,3414,1379.664874,1868,1.353951989,31.48809925,108,0.078279879,1.820511092
1004,Sambour,55696,10.4,4604,1607,28.85,6211,5369.294014,298,0.055500779,5.350474002,202,0.037621333,3.62683137
1005,Snuol,61603,21.9,5646,13966,226.71,19612,2818.944724,227,0.080526588,3.684885476,115,0.040795408,1.866792202
1101,Kaev Seima,19218,6.1,1108,7366,383.29,8474,3138.718908,41,0.013062654,2.133416589,11,0.003504615,0.57238006
