longitude,latitude,vil_code,village,school_name,school_dist
102.9328841,13.40458256,1021109,Phlov Damrei Kraom,Raung Ko,2053.847739
102.9414902,13.40103806,1021110,Ou Soea,Raung Ko,2669.909574
102.9831864,13.38239625,1021111,Kouk Samraong,Phnom Thom,6454.091653
102.7880357,13.41434266,1021112,Ballangk Chrey,Lovea,15057.06131
102.7757821,13.42282833,1021113,Ou Chuob Thmei,Lovea,16672.12052
103.0521323,13.50236042,1021201,Ta In Muoy,Hun Sen Mongkol Borei,4274.68097
103.0571092,13.5036372,1021202,Ta In Pir,Hun Sen Mongkol Borei,4640.319119
103.0603175,13.50435794,1021203,Krouch,Hun Sen Mongkol Borei,4900.606398
103.0635326,13.50536791,1021204,Chamkar Chek,Hun Sen Mongkol Borei,5159.043147
103.07176,13.50328941,1021205,Srah Reang,Hun Sen Mongkol Borei,6063.944056
103.0773156,13.50152454,1021206,Ta Chan,Hun Sen Mongkol Borei,6693.167897
103.0847109,13.50067737,1021207,Kouk Srok,Hun Sen Mongkol Borei,7468.53942
103.0939605,13.4989403,1021208,Kouk Chrab,Hun Sen Mongkol Borei,8472.293475
103.0994801,13.50169355,1021209,Kouk Krasang,Hun Sen Mongkol Borei,8939.814176
103.0439293,13.51843762,1021301,Preah Srae,Hun Sen Mongkol Borei,2646.261189
103.0513105,13.51939893,1021302,Ta Lam Kandal,Hun Sen Mongkol Borei,3393.635001
103.0787784,13.5241391,1021303,Ta Lam Chong,Mongkol Borei,6171.003231
103.1122958,13.516251,1021304,Boeng Khleang Lech,Mongkol Borei,9888.881727
103.1002462,13.52158258,1021305,Chong Kouk,Mongkol Borei,8512.403908
103.1196563,13.51992153,1021306,Boeng Khleang Kaeut,Mongkol Borei,10620.77255
103.1414712,13.51900889,1021307,Khla Kham Chhkae,Chup Vary,12354.70518
103.1488484,13.49664012,1021308,Boeng Veaeng,Mongkol Borei,14229.13046
103.4219411,13.78782245,1030101,Rongvean,Khemara Nam Tao,7269.957646
103.3991605,13.8165636,1030102,Thmei Khang Tboung,Khemara Nam Tao,3346.426092
103.3904188,13.81536753,1030103,Thmei Khang Cheung,Khemara Nam Tao,3300.937925
103.3884345,13.82146479,1030104,Kouk Yeang,Khemara Nam Tao,2624.459648
103.4011801,13.82558857,1030105,Kouk Chas,Khemara Nam Tao,2528.894806
103.3983558,13.83280127,1030106,Chrab,Khemara Nam Tao,1694.313962
103.3992251,13.84094196,1030107,Kantuot,Khemara Nam Tao,1188.249073
103.3991818,13.8472689,1030108,Nam Tau,Khemara Nam Tao,1111.635499
103.3978444,13.85345179,1030109,Pongro,Khemara Nam Tao,1314.060039
103.4091232,13.88168157,1030110,Samraong,Khemara Nam Tao,4580.858969
103.4192081,13.89530543,1030111,Khnang,Khemara Nam Tao,6428.977668
103.4243738,13.90448624,1030112,Thnong Khang Tboung,Khemara Nam Tao,7587.626965
103.4329588,13.91437593,1030113,Thnong Khang Cheung,Khemara Nam Tao,9003.274315
103.3874614,13.80290159,1030114,Slaeng,Khemara Nam Tao,4680.590542
103.3703421,13.85337874,1030115,Takung,Khemara Nam Tao,2223.904306
103.3557287,13.84244361,1030116,Yeang Otdam,Khemara Nam Tao,3622.829349
103.3665172,13.85663432,1030117,Ampil Kaong,Khemara Nam Tao,2753.003434
103.3627409,13.8529484,1030118,Kong Siem,Khemara Nam Tao,2978.84601
103.3157343,13.76594052,1030201,Paoy Snuol,Poy Char,992.0505301
103.3107516,13.76701813,1030202,Paoy Char,Poy Char,1316.744976
103.3137077,13.77517313,1030203,Trapeang Thma Tboung,Poy Char,839.0450568
103.3155005,13.78567019,1030204,Trapeang Thma Cheung,Poy Char,1515.321543
103.3138038,13.77982867,1030205,Trapeang Thma Kandal,Poy Char,1087.637855
103.3174259,13.79186577,1030206,Paoy Ta Ong,Poy Char,2110.006228
103.327283,13.81153784,1030207,Sambuor,Poy Char,4297.801424
103.3290682,13.82058863,1030208,Pongro,Poy Char,5317.050742
103.2267772,13.77106436,1030301,Ta Vong,Poy Char,10212.25881
103.1876218,13.81235421,1030302,Ponley,Phkoam,7079.929915
103.1853081,13.75268606,1030303,Svay Sa,Phkoam,11235.01294
103.2137636,13.78000845,1030304,Svay Khmau,Phkoam,11281.96412
103.234249,13.76117598,1030305,Kouk Ta Sokh,Poy Char,9494.717948
103.244615,13.73503893,1030306,Pou Roam Bon,Poy Char,9293.014302
103.4094229,13.70090409,1030401,Rouk,Phnom Srok,8670.805474
103.4176088,13.72651001,1030402,Mukh Chhneang,Phnom Srok,8346.879142
103.4317238,13.68387216,1030403,Spean,Teuk Cho,10526.5166
103.4234343,13.67929997,1030404,Kouk Char,Teuk Cho,9798.474739
103.4127283,13.6739799,1030405,Kandaol,Teuk Cho,9010.52496
103.4072788,13.66781646,1030406,Pongro,Teuk Cho,8275.409934
103.3360738,13.74561516,1030501,Moat Srah,Phnom Srok,721.3008034
103.3279558,13.74556929,1030502,Srah Chhuk Khang Lech,Phnom Srok,1588.827037
103.3350621,13.73961567,1030503,Srah Chik,Phnom Srok,955.9024684
103.3242787,13.71389994,1030504,Kouk Kraol,Phnom Srok,3889.544816
